,weekend,top10gross,top10percentchange,overallgross,overallpercentchange,numreleases,num1release,RTLink,weeknum,weekendlink,num1link
44,Jan 1-3,204295752,-20.0,220307116,-18.4,80,Avatar,https://www.rottentomatoes.com/m/avatar,1,https://www.boxofficemojo.com/weekend/2010W01/?ref_=bo_wey_table_62,https://www.boxofficemojo.com/release/rl876971521/?ref_=bo_wey_table_62
43,Jan 8-10,145045666,-29.0,160275182,-27.2,86,Avatar,https://www.rottentomatoes.com/m/avatar,2,https://www.boxofficemojo.com/weekend/2010W02/?ref_=bo_wey_table_61,https://www.boxofficemojo.com/release/rl876971521/?ref_=bo_wey_table_61
52,Jan 15-17,148859116,2.6,170071252,6.1,96,Avatar,https://www.rottentomatoes.com/m/avatar,3,https://www.boxofficemojo.com/weekend/2010W03/?ref_=bo_wey_table_60,https://www.boxofficemojo.com/release/rl876971521/?ref_=bo_wey_table_60
42,Jan 22-24,120045516,-19.4,144384498,-15.1,93,Avatar,https://www.rottentomatoes.com/m/avatar,4,https://www.boxofficemojo.com/weekend/2010W04/?ref_=bo_wey_table_58,https://www.boxofficemojo.com/release/rl876971521/?ref_=bo_wey_table_58
41,Jan 29-31,103970747,-13.4,125460594,-13.1,93,Avatar,https://www.rottentomatoes.com/m/avatar,5,https://www.boxofficemojo.com/weekend/2010W05/?ref_=bo_wey_table_57,https://www.boxofficemojo.com/release/rl876971521/?ref_=bo_wey_table_57
40,Feb 5-7,94786281,-8.8,113987051,-9.1,100,Dear John,https://www.rottentomatoes.com/m/dear_john,6,https://www.boxofficemojo.com/weekend/2010W06/?ref_=bo_wey_table_56,https://www.boxofficemojo.com/release/rl2404156929/?ref_=bo_wey_table_56
51,Feb 12-14,182998695,93.1,204746196,79.6,95,Valentine's Day,https://www.rottentomatoes.com/m/valentines_day_2010,7,https://www.boxofficemojo.com/weekend/2010W07/?ref_=bo_wey_table_54,https://www.boxofficemojo.com/release/rl611943937/?ref_=bo_wey_table_54
39,Feb 19-21,118472680,-35.3,133902273,-34.6,108,Shutter Island,https://www.rottentomatoes.com/m/1198124-shutter_island,8,https://www.boxofficemojo.com/weekend/2010W08/?ref_=bo_wey_table_53,https://www.boxofficemojo.com/release/rl2020705793/?ref_=bo_wey_table_53
38,Feb 26-28,104201694,-12.0,119202708,-11.0,107,Shutter Island,https://www.rottentomatoes.com/m/1198124-shutter_island,9,https://www.boxofficemojo.com/weekend/2010W09/?ref_=bo_wey_table_52,https://www.boxofficemojo.com/release/rl2020705793/?ref_=bo_wey_table_52
37,Mar 5-7,182536400,75.2,196996205,65.3,107,Alice in Wonderland,https://www.rottentomatoes.com/m/1221547-alice_in_wonderland,10,https://www.boxofficemojo.com/weekend/2010W10/?ref_=bo_wey_table_51,https://www.boxofficemojo.com/release/rl3393226241/?ref_=bo_wey_table_51
