,weekend,top10gross,top10percentchange,overallgross,overallpercentchange,numreleases,num1release,RTLink,weeknum,weekendlink,num1link
41,Jan 6-8,120491633,-27.6,137405045,-26.4,88,Hidden Figures,https://www.rottentomatoes.com/m/hidden_figures,1,https://www.boxofficemojo.com/weekend/2017W01/?ref_=bo_wey_table_63,https://www.boxofficemojo.com/release/rl3749545473/?ref_=bo_wey_table_63
51,Jan 13-15,119057524,-1.2,149365311,8.7,80,Hidden Figures,https://www.rottentomatoes.com/m/hidden_figures,2,https://www.boxofficemojo.com/weekend/2017W02/?ref_=bo_wey_table_61,https://www.boxofficemojo.com/release/rl3749545473/?ref_=bo_wey_table_61
40,Jan 20-22,120214041,1.0,145007859,-2.9,89,Split,https://www.rottentomatoes.com/m/split_2017,3,https://www.boxofficemojo.com/weekend/2017W03/?ref_=bo_wey_table_60,https://www.boxofficemojo.com/release/rl1300006401/?ref_=bo_wey_table_60
39,Jan 27-29,111650133,-7.1,141980332,-2.1,85,Split,https://www.rottentomatoes.com/m/split_2017,4,https://www.boxofficemojo.com/weekend/2017W04/?ref_=bo_wey_table_59,https://www.boxofficemojo.com/release/rl1300006401/?ref_=bo_wey_table_59
38,Feb 3-5,75662315,-32.2,99239960,-30.1,97,Split,https://www.rottentomatoes.com/m/split_2017,5,https://www.boxofficemojo.com/weekend/2017W05/?ref_=bo_wey_table_58,https://www.boxofficemojo.com/release/rl1300006401/?ref_=bo_wey_table_58
37,Feb 10-12,171094497,126.1,188591354,90.0,87,The Lego Batman Movie,https://www.rottentomatoes.com/m/the_lego_batman_movie,6,https://www.boxofficemojo.com/weekend/2017W06/?ref_=bo_wey_table_57,https://www.boxofficemojo.com/release/rl660506113/?ref_=bo_wey_table_57
50,Feb 17-19,128860229,-24.7,150631026,-20.1,80,The Lego Batman Movie,https://www.rottentomatoes.com/m/the_lego_batman_movie,7,https://www.boxofficemojo.com/weekend/2017W07/?ref_=bo_wey_table_56,https://www.boxofficemojo.com/release/rl660506113/?ref_=bo_wey_table_56
36,Feb 24-26,103860378,-19.4,124126169,-17.6,87,Get Out,https://www.rottentomatoes.com/m/get_out,8,https://www.boxofficemojo.com/weekend/2017W08/?ref_=bo_wey_table_54,https://www.boxofficemojo.com/release/rl256280065/?ref_=bo_wey_table_54
35,Mar 3-5,168014995,61.8,189697727,52.8,100,Logan,https://www.rottentomatoes.com/m/logan_2017,9,https://www.boxofficemojo.com/weekend/2017W09/?ref_=bo_wey_table_53,https://www.boxofficemojo.com/release/rl3229320705/?ref_=bo_wey_table_53
34,Mar 10-12,149362845,-11.1,163997836,-13.5,107,Kong: Skull Island,https://www.rottentomatoes.com/m/kong_skull_island,10,https://www.boxofficemojo.com/weekend/2017W10/?ref_=bo_wey_table_52,https://www.boxofficemojo.com/release/rl710837761/?ref_=bo_wey_table_52
