,weekend,top10gross,top10percentchange,overallgross,overallpercentchange,numreleases,num1release,weeknum,RTLink,weekendlink,num1link
47,Sep 4-6,76384281,-27.5,97776362,-21.8,110,The Final Destination,36,https://www.rottentomatoes.com/m/final_destination_final_death_trip_3D,https://www.boxofficemojo.com/weekend/2009W36/?ref_=bo_wey_table_20,https://www.boxofficemojo.com/release/rl2975041025/?ref_=bo_wey_table_20
13,Sep 11-13,71451514,-6.5,92274610,-5.6,122,I Can Do Bad All by Myself,37,https://www.rottentomatoes.com/m/i_can_do_bad_all_by_myself,https://www.boxofficemojo.com/weekend/2009W37/?ref_=bo_wey_table_19,https://www.boxofficemojo.com/release/rl3227026945/?ref_=bo_wey_table_19
12,Sep 18-20,83214524,16.5,101915572,10.4,132,Cloudy with a Chance of Meatballs,38,https://www.rottentomatoes.com/m/1196077-cloudy_with_a_chance_of_meatballs,https://www.boxofficemojo.com/weekend/2009W38/?ref_=bo_wey_table_18,https://www.boxofficemojo.com/release/rl4883969/?ref_=bo_wey_table_18
11,Sep 25-27,79376189,-4.6,96863428,-5.0,137,Cloudy with a Chance of Meatballs,39,https://www.rottentomatoes.com/m/1196077-cloudy_with_a_chance_of_meatballs,https://www.boxofficemojo.com/weekend/2009W39/?ref_=bo_wey_table_17,https://www.boxofficemojo.com/release/rl4883969/?ref_=bo_wey_table_17
10,Oct 2-4,87465911,10.2,107092990,10.6,130,Zombieland,40,https://www.rottentomatoes.com/m/zombieland,https://www.boxofficemojo.com/weekend/2009W40/?ref_=bo_wey_table_16,https://www.boxofficemojo.com/release/rl847087105/?ref_=bo_wey_table_16
46,Oct 9-11,91892437,5.1,110115725,2.8,133,Couples Retreat,41,https://www.rottentomatoes.com/m/couples_retreat,https://www.boxofficemojo.com/weekend/2009W41/?ref_=bo_wey_table_15,https://www.boxofficemojo.com/release/rl223184385/?ref_=bo_wey_table_15
9,Oct 16-18,124637638,35.6,138588159,25.9,135,Where the Wild Things Are,42,https://www.rottentomatoes.com/m/where_the_wild_things_are,https://www.boxofficemojo.com/weekend/2009W42/?ref_=bo_wey_table_13,https://www.boxofficemojo.com/release/rl964396545/?ref_=bo_wey_table_13
8,Oct 23-25,100949943,-19.0,116118451,-16.2,135,Paranormal Activity,43,https://www.rottentomatoes.com/m/paranormal_activity,https://www.boxofficemojo.com/weekend/2009W43/?ref_=bo_wey_table_12,https://www.boxofficemojo.com/release/rl2355725825/?ref_=bo_wey_table_12
7,Oct 30-Nov 1,77489382,-23.2,90874415,-21.7,133,This Is It,44,https://www.rottentomatoes.com/m/michael_jackson_this_is_it,https://www.boxofficemojo.com/weekend/2009W44/?ref_=bo_wey_table_11,https://www.boxofficemojo.com/release/rl1130530305/?ref_=bo_wey_table_11
6,Nov 6-8,102932989,32.8,119864425,31.9,128,A Christmas Carol,45,https://www.rottentomatoes.com/m/10008502-christmas_carol,https://www.boxofficemojo.com/weekend/2009W45/?ref_=bo_wey_table_10,https://www.boxofficemojo.com/release/rl2605417985/?ref_=bo_wey_table_10
5,Nov 13-15,124130245,20.6,139985928,16.8,128,2012,46,https://www.rottentomatoes.com/m/2012,https://www.boxofficemojo.com/weekend/2009W46/?ref_=bo_wey_table_9,https://www.boxofficemojo.com/release/rl1833010689/?ref_=bo_wey_table_9
45,Nov 20-22,246948248,98.9,258576253,84.7,123,The Twilight Saga: New Moon,47,https://www.rottentomatoes.com/m/twilight_saga_new_moon,https://www.boxofficemojo.com/weekend/2009W47/?ref_=bo_wey_table_8,https://www.boxofficemojo.com/release/rl3479471617/?ref_=bo_wey_table_8
4,Nov 27-29,172369237,13.2,186348522,14.6,109,The Twilight Saga: New Moon,48,https://www.rottentomatoes.com/m/twilight_saga_new_moon,https://www.boxofficemojo.com/weekend/2009W48/?ref_=bo_wey_table_5,https://www.boxofficemojo.com/release/rl3479471617/?ref_=bo_wey_table_5
3,Dec 4-6,86237399,-50.0,99663975,-46.5,113,The Blind Side,49,https://www.rottentomatoes.com/m/1212694-blind_side,https://www.boxofficemojo.com/weekend/2009W49/?ref_=bo_wey_table_4,https://www.boxofficemojo.com/release/rl3796338177/?ref_=bo_wey_table_4
2,Dec 11-13,82656512,-4.2,97058602,-2.6,104,The Princess and the Frog,50,https://www.rottentomatoes.com/m/1196003-princess_and_the_frog,https://www.boxofficemojo.com/weekend/2009W50/?ref_=bo_wey_table_3,https://www.boxofficemojo.com/release/rl3916137985/?ref_=bo_wey_table_3
1,Dec 18-20,126343342,52.9,137963395,42.1,96,Avatar,51,https://www.rottentomatoes.com/m/avatar,https://www.boxofficemojo.com/weekend/2009W51/?ref_=bo_wey_table_2,https://www.boxofficemojo.com/release/rl876971521/?ref_=bo_wey_table_2
0,Dec 25-27,255212095,102.0,270119719,95.8,83,Avatar,52,https://www.rottentomatoes.com/m/avatar,https://www.boxofficemojo.com/weekend/2009W52/?ref_=bo_wey_table_1,https://www.boxofficemojo.com/release/rl876971521/?ref_=bo_wey_table_1
