,weekend,top10gross,top10percentchange,overallgross,overallpercentchange,numreleases,num1release,RTLink,weeknum,weekendlink,num1link
42,Jan 6-8,120467366,-10.4,139471507,-9.9,93,The Devil Inside,https://www.rottentomatoes.com/m/the_devil_inside,1,https://www.boxofficemojo.com/weekend/2012W01/?ref_=bo_wey_table_62,https://www.boxofficemojo.com/release/rl1716487681/?ref_=bo_wey_table_62
51,Jan 13-15,105673270,-12.3,132235551,-5.2,103,Contraband,https://www.rottentomatoes.com/m/contraband_2012,2,https://www.boxofficemojo.com/weekend/2012W02/?ref_=bo_wey_table_60,https://www.boxofficemojo.com/release/rl3427436033/?ref_=bo_wey_table_60
41,Jan 20-22,103050329,-2.5,133441542,0.9,107,Underworld Awakening,https://www.rottentomatoes.com/m/underworld_awakening,3,https://www.boxofficemojo.com/weekend/2012W03/?ref_=bo_wey_table_59,https://www.boxofficemojo.com/release/rl2172028417/?ref_=bo_wey_table_59
40,Jan 27-29,91306608,-11.4,126328423,-5.3,111,The Grey,https://www.rottentomatoes.com/m/the_grey_2012,4,https://www.boxofficemojo.com/weekend/2012W04/?ref_=bo_wey_table_58,https://www.boxofficemojo.com/release/rl3143075329/?ref_=bo_wey_table_58
39,Feb 3-5,88088338,-3.5,115729538,-8.4,105,Chronicle,https://www.rottentomatoes.com/m/chronicle,5,https://www.boxofficemojo.com/weekend/2012W05/?ref_=bo_wey_table_57,https://www.boxofficemojo.com/release/rl2487977473/?ref_=bo_wey_table_57
38,Feb 10-12,168289222,91.0,191893008,65.8,111,The Vow,https://www.rottentomatoes.com/m/the_vow_2012,6,https://www.boxofficemojo.com/weekend/2012W06/?ref_=bo_wey_table_56,https://www.boxofficemojo.com/release/rl2541323777/?ref_=bo_wey_table_56
50,Feb 17-19,137926714,-18.0,160944778,-16.1,118,Safe House,https://www.rottentomatoes.com/m/safe_house_2012,7,https://www.boxofficemojo.com/weekend/2012W07/?ref_=bo_wey_table_55,https://www.boxofficemojo.com/release/rl107972097/?ref_=bo_wey_table_55
37,Feb 24-26,107371847,-22.2,133892090,-16.8,115,Act of Valor,https://www.rottentomatoes.com/m/act_of_valor,8,https://www.boxofficemojo.com/weekend/2012W08/?ref_=bo_wey_table_53,https://www.boxofficemojo.com/release/rl2118157825/?ref_=bo_wey_table_53
36,Mar 2-4,145788328,35.8,168466571,25.8,118,The Lorax,https://www.rottentomatoes.com/m/the_lorax_2012,9,https://www.boxofficemojo.com/weekend/2012W09/?ref_=bo_wey_table_52,https://www.boxofficemojo.com/release/rl2858518017/?ref_=bo_wey_table_52
35,Mar 9-11,116009145,-20.4,136877195,-18.8,127,The Lorax,https://www.rottentomatoes.com/m/the_lorax_2012,10,https://www.boxofficemojo.com/weekend/2012W10/?ref_=bo_wey_table_51,https://www.boxofficemojo.com/release/rl2858518017/?ref_=bo_wey_table_51
34,Mar 16-18,93582069,-19.3,110983561,-18.9,116,21 Jump Street,https://www.rottentomatoes.com/m/21_jump_street_2011,11,https://www.boxofficemojo.com/weekend/2012W11/?ref_=bo_wey_table_50,https://www.boxofficemojo.com/release/rl1564575233/?ref_=bo_wey_table_50
33,Mar 23-25,201664110,115.5,214253387,93.0,115,The Hunger Games,https://www.rottentomatoes.com/m/the_hunger_games,12,https://www.boxofficemojo.com/weekend/2012W12/?ref_=bo_wey_table_49,https://www.boxofficemojo.com/release/rl4049110529/?ref_=bo_wey_table_49
32,Mar 30-Apr 1,138772071,-31.2,148926320,-30.5,124,The Hunger Games,https://www.rottentomatoes.com/m/the_hunger_games,13,https://www.boxofficemojo.com/weekend/2012W13/?ref_=bo_wey_table_48,https://www.boxofficemojo.com/release/rl4049110529/?ref_=bo_wey_table_48
49,Apr 6-8,115439622,-16.8,123764607,-16.9,123,The Hunger Games,https://www.rottentomatoes.com/m/the_hunger_games,14,https://www.boxofficemojo.com/weekend/2012W14/?ref_=bo_wey_table_47,https://www.boxofficemojo.com/release/rl4049110529/?ref_=bo_wey_table_47
31,Apr 13-15,104850744,-9.2,114756312,-7.3,115,The Hunger Games,https://www.rottentomatoes.com/m/the_hunger_games,15,https://www.boxofficemojo.com/weekend/2012W15/?ref_=bo_wey_table_45,https://www.boxofficemojo.com/release/rl4049110529/?ref_=bo_wey_table_45
30,Apr 20-22,118940992,13.4,135415449,18.0,125,Think Like a Man,https://www.rottentomatoes.com/m/think_like_a_man,16,https://www.boxofficemojo.com/weekend/2012W16/?ref_=bo_wey_table_44,https://www.boxofficemojo.com/release/rl1853130241/?ref_=bo_wey_table_44
29,Apr 27-29,91171173,-23.3,110593680,-18.3,129,Think Like a Man,https://www.rottentomatoes.com/m/think_like_a_man,17,https://www.boxofficemojo.com/weekend/2012W17/?ref_=bo_wey_table_43,https://www.boxofficemojo.com/release/rl1853130241/?ref_=bo_wey_table_43
28,May 4-6,246662936,170.5,258295713,133.6,134,The Avengers,https://www.rottentomatoes.com/m/marvels_the_avengers,18,https://www.boxofficemojo.com/weekend/2012W18/?ref_=bo_wey_table_42,https://www.boxofficemojo.com/release/rl709199361/?ref_=bo_wey_table_42
27,May 11-13,159498783,-35.3,171025163,-33.8,132,The Avengers,https://www.rottentomatoes.com/m/marvels_the_avengers,19,https://www.boxofficemojo.com/weekend/2012W19/?ref_=bo_wey_table_41,https://www.boxofficemojo.com/release/rl709199361/?ref_=bo_wey_table_41
26,May 18-20,133932974,-16.0,142764397,-16.5,131,The Avengers,https://www.rottentomatoes.com/m/marvels_the_avengers,20,https://www.boxofficemojo.com/weekend/2012W20/?ref_=bo_wey_table_40,https://www.boxofficemojo.com/release/rl709199361/?ref_=bo_wey_table_40
48,May 25-27,144354167,7.8,153244254,7.3,119,Men in Black 3,https://www.rottentomatoes.com/m/men_in_black_iii,21,https://www.boxofficemojo.com/weekend/2012W21/?ref_=bo_wey_table_39,https://www.boxofficemojo.com/release/rl1298302465/?ref_=bo_wey_table_39
25,Jun 1-3,132181371,-8.4,142828971,-6.8,129,Snow White and the Huntsman,https://www.rottentomatoes.com/m/snow_white_and_the_huntsman,22,https://www.boxofficemojo.com/weekend/2012W22/?ref_=bo_wey_table_37,https://www.boxofficemojo.com/release/rl2054194689/?ref_=bo_wey_table_37
24,Jun 8-10,171705112,29.9,181630363,27.2,131,Madagascar 3: Europe's Most Wanted,https://www.rottentomatoes.com/m/madagascar_3_europes_most_wanted_2012,23,https://www.boxofficemojo.com/weekend/2012W23/?ref_=bo_wey_table_36,https://www.boxofficemojo.com/release/rl1415611905/?ref_=bo_wey_table_36
