,weekend,top10gross,top10percentchange,overallgross,overallpercentchange,numreleases,num1release,weeknum,RTLink,weekendlink,num1link
20,Jul 8-10,135633138,4.6,148968033,4.8,124,Fantastic Four,27,https://www.rottentomatoes.com/m/fantastic_four,https://www.boxofficemojo.com/weekend/2005W27/?ref_=bo_wey_table_32,https://www.boxofficemojo.com/release/rl3662710273/?ref_=bo_wey_table_32
19,Jul 15-17,150770053,11.2,162848874,9.3,126,Charlie and the Chocolate Factory,28,https://www.rottentomatoes.com/m/charlie_and_the_chocolate_factory,https://www.boxofficemojo.com/weekend/2005W28/?ref_=bo_wey_table_31,https://www.boxofficemojo.com/release/rl659260929/?ref_=bo_wey_table_31
18,Jul 22-24,124012308,-17.7,140548188,-13.7,126,Charlie and the Chocolate Factory,29,https://www.rottentomatoes.com/m/charlie_and_the_chocolate_factory,https://www.boxofficemojo.com/weekend/2005W29/?ref_=bo_wey_table_30,https://www.boxofficemojo.com/release/rl659260929/?ref_=bo_wey_table_30
17,Jul 29-31,105645982,-14.8,123665915,-12.0,128,Wedding Crashers,30,https://www.rottentomatoes.com/m/wedding_crashers,https://www.boxofficemojo.com/weekend/2005W30/?ref_=bo_wey_table_29,https://www.boxofficemojo.com/release/rl1282967041/?ref_=bo_wey_table_29
16,Aug 5-7,98480327,-6.8,115303520,-6.8,132,The Dukes of Hazzard,31,https://www.rottentomatoes.com/m/dukes_of_hazzard,https://www.boxofficemojo.com/weekend/2005W31/?ref_=bo_wey_table_28,https://www.boxofficemojo.com/release/rl3947791873/?ref_=bo_wey_table_28
15,Aug 12-14,100228294,1.8,120238779,4.3,121,Four Brothers,32,https://www.rottentomatoes.com/m/four_brothers,https://www.boxofficemojo.com/weekend/2005W32/?ref_=bo_wey_table_27,https://www.boxofficemojo.com/release/rl2941421057/?ref_=bo_wey_table_27
14,Aug 19-21,92953567,-7.3,114186392,-5.0,120,The 40-Year-Old Virgin,33,https://www.rottentomatoes.com/m/40_year_old_virgin,https://www.boxofficemojo.com/weekend/2005W33/?ref_=bo_wey_table_26,https://www.boxofficemojo.com/release/rl4165043713/?ref_=bo_wey_table_26
13,Aug 26-28,77824346,-16.3,97627303,-14.5,130,The 40-Year-Old Virgin,34,https://www.rottentomatoes.com/m/40_year_old_virgin,https://www.boxofficemojo.com/weekend/2005W34/?ref_=bo_wey_table_25,https://www.boxofficemojo.com/release/rl4165043713/?ref_=bo_wey_table_25
46,Sep 2-4,72867782,-6.4,92929769,-4.8,121,Transporter 2,35,https://www.rottentomatoes.com/m/transporter_2,https://www.boxofficemojo.com/weekend/2005W35/?ref_=bo_wey_table_24,https://www.boxofficemojo.com/release/rl2910291457/?ref_=bo_wey_table_24
12,Sep 9-11,70635980,-3.1,86410517,-7.0,138,The Exorcism of Emily Rose,36,https://www.rottentomatoes.com/m/exorcism_of_emily_rose,https://www.boxofficemojo.com/weekend/2005W36/?ref_=bo_wey_table_22,https://www.boxofficemojo.com/release/rl1548781057/?ref_=bo_wey_table_22
11,Sep 16-18,66381308,-6.0,84288797,-2.5,140,Just Like Heaven,37,https://www.rottentomatoes.com/m/just_like_heaven,https://www.boxofficemojo.com/weekend/2005W37/?ref_=bo_wey_table_21,https://www.boxofficemojo.com/release/rl4217210369/?ref_=bo_wey_table_21
10,Sep 23-25,84333686,27.0,99849960,18.5,142,Flightplan,38,https://www.rottentomatoes.com/m/flightplan,https://www.boxofficemojo.com/weekend/2005W38/?ref_=bo_wey_table_20,https://www.boxofficemojo.com/release/rl877823489/?ref_=bo_wey_table_20
9,Sep 30-Oct 2,71498614,-15.2,88784004,-11.1,150,Flightplan,39,https://www.rottentomatoes.com/m/flightplan,https://www.boxofficemojo.com/weekend/2005W39/?ref_=bo_wey_table_19,https://www.boxofficemojo.com/release/rl877823489/?ref_=bo_wey_table_19
45,Oct 7-9,80874687,13.1,105088226,18.4,143,Wallace & Gromit: The Curse of the Were-Rabbit,40,https://www.rottentomatoes.com/m/wallace_and_gromit_curse_of_the_wererabbit,https://www.boxofficemojo.com/weekend/2005W40/?ref_=bo_wey_table_18,https://www.boxofficemojo.com/release/rl3782837761/?ref_=bo_wey_table_18
8,Oct 14-16,66154387,-18.2,88079308,-16.2,140,The Fog,41,https://www.rottentomatoes.com/m/fog,https://www.boxofficemojo.com/weekend/2005W41/?ref_=bo_wey_table_16,https://www.boxofficemojo.com/release/rl223512065/?ref_=bo_wey_table_16
7,Oct 21-23,65691999,-0.7,89339458,1.4,141,Doom,42,https://www.rottentomatoes.com/m/doom,https://www.boxofficemojo.com/weekend/2005W42/?ref_=bo_wey_table_15,https://www.boxofficemojo.com/release/rl307136001/?ref_=bo_wey_table_15
6,Oct 28-30,82583718,25.7,102501610,14.7,142,Saw II,43,https://www.rottentomatoes.com/m/saw_ii,https://www.boxofficemojo.com/weekend/2005W43/?ref_=bo_wey_table_14,https://www.boxofficemojo.com/release/rl2322564609/?ref_=bo_wey_table_14
5,Nov 4-6,115339866,39.7,134640320,31.4,132,Chicken Little,44,https://www.rottentomatoes.com/m/chicken_little,https://www.boxofficemojo.com/weekend/2005W44/?ref_=bo_wey_table_13,https://www.boxofficemojo.com/release/rl1615562241/?ref_=bo_wey_table_13
4,Nov 11-13,106966552,-7.3,126479572,-6.1,143,Chicken Little,45,https://www.rottentomatoes.com/m/chicken_little,https://www.boxofficemojo.com/weekend/2005W45/?ref_=bo_wey_table_12,https://www.boxofficemojo.com/release/rl1615562241/?ref_=bo_wey_table_12
44,Nov 18-20,168987940,58.0,181232917,43.3,140,Harry Potter and the Goblet of Fire,46,https://www.rottentomatoes.com/m/harry_potter_and_the_goblet_of_fire,https://www.boxofficemojo.com/weekend/2005W46/?ref_=bo_wey_table_11,https://www.boxofficemojo.com/release/rl1466664449/?ref_=bo_wey_table_11
3,Nov 25-27,143088210,-15.3,165601846,-8.6,130,Harry Potter and the Goblet of Fire,47,https://www.rottentomatoes.com/m/harry_potter_and_the_goblet_of_fire,https://www.boxofficemojo.com/weekend/2005W47/?ref_=bo_wey_table_8,https://www.boxofficemojo.com/release/rl1466664449/?ref_=bo_wey_table_8
2,Dec 2-4,73570458,-48.6,86968500,-47.5,135,Harry Potter and the Goblet of Fire,48,https://www.rottentomatoes.com/m/harry_potter_and_the_goblet_of_fire,https://www.boxofficemojo.com/weekend/2005W48/?ref_=bo_wey_table_7,https://www.boxofficemojo.com/release/rl1466664449/?ref_=bo_wey_table_7
1,Dec 9-11,113612356,54.4,123599934,42.1,129,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",49,https://www.rottentomatoes.com/m/chronicles_of_narnia_lion_witch_wardrobe,https://www.boxofficemojo.com/weekend/2005W49/?ref_=bo_wey_table_6,https://www.boxofficemojo.com/release/rl2623833601/?ref_=bo_wey_table_6
0,Dec 16-18,119305835,5.0,128755865,4.2,115,King Kong,50,https://www.rottentomatoes.com/m/king_kong,https://www.boxofficemojo.com/weekend/2005W50/?ref_=bo_wey_table_5,https://www.boxofficemojo.com/release/rl1331463681/?ref_=bo_wey_table_5
43,Dec 23-25,94745376,-20.6,111233550,-13.6,83,King Kong,51,https://www.rottentomatoes.com/m/king_kong,https://www.boxofficemojo.com/weekend/2005W51/?ref_=bo_wey_table_4,https://www.boxofficemojo.com/release/rl1331463681/?ref_=bo_wey_table_4
42,"Dec 30-Jan 1, 2006",123334934,30.2,149600863,34.5,89,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",52,https://www.rottentomatoes.com/m/chronicles_of_narnia_lion_witch_wardrobe,https://www.boxofficemojo.com/weekend/2005W52/?ref_=bo_wey_table_2,https://www.boxofficemojo.com/release/rl2623833601/?ref_=bo_wey_table_2
