,weekend,top10gross,top10percentchange,overallgross,overallpercentchange,numreleases,num1release,weeknum,RTLink,weekendlink,num1link
41,Jan 7-9,93376849,-18.8,118992431,-18.7,108,Meet the Fockers,1,https://www.rottentomatoes.com/m/meet_the_fockers,https://www.boxofficemojo.com/weekend/2005W01/?ref_=bo_wey_table_63,https://www.boxofficemojo.com/release/rl862094849/?ref_=bo_wey_table_63
51,Jan 14-16,112075179,20.0,138088011,16.0,84,Coach Carter,2,https://www.rottentomatoes.com/m/coach_carter,https://www.boxofficemojo.com/weekend/2005W02/?ref_=bo_wey_table_61,https://www.boxofficemojo.com/release/rl2118813185/?ref_=bo_wey_table_61
40,Jan 21-23,78920270,-29.6,98473742,-28.7,110,Are We There Yet?,3,https://www.rottentomatoes.com/m/1141102-are_we_there_yet,https://www.boxofficemojo.com/weekend/2005W03/?ref_=bo_wey_table_60,https://www.boxofficemojo.com/release/rl1145210369/?ref_=bo_wey_table_60
39,Jan 28-30,97441087,23.5,123757135,25.7,111,Hide and Seek,4,https://www.rottentomatoes.com/m/1141193-hide_and_seek,https://www.boxofficemojo.com/weekend/2005W04/?ref_=bo_wey_table_59,https://www.boxofficemojo.com/release/rl1532593665/?ref_=bo_wey_table_59
38,Feb 4-6,81760868,-16.1,101779376,-17.8,118,Boogeyman,5,https://www.rottentomatoes.com/m/boogeyman,https://www.boxofficemojo.com/weekend/2005W05/?ref_=bo_wey_table_58,https://www.boxofficemojo.com/release/rl1078363649/?ref_=bo_wey_table_58
37,Feb 11-13,98317419,20.2,120184921,18.1,120,Hitch,6,https://www.rottentomatoes.com/m/hitch,https://www.boxofficemojo.com/weekend/2005W06/?ref_=bo_wey_table_57,https://www.boxofficemojo.com/release/rl2606335489/?ref_=bo_wey_table_57
50,Feb 18-20,109619134,11.5,132944255,10.6,106,Hitch,7,https://www.rottentomatoes.com/m/hitch,https://www.boxofficemojo.com/weekend/2005W07/?ref_=bo_wey_table_56,https://www.boxofficemojo.com/release/rl2606335489/?ref_=bo_wey_table_56
36,Feb 25-27,98868991,-9.8,122480464,-7.9,115,Diary of a Mad Black Woman,8,https://www.rottentomatoes.com/m/diary_of_a_mad_black_woman,https://www.boxofficemojo.com/weekend/2005W08/?ref_=bo_wey_table_54,https://www.boxofficemojo.com/release/rl1214285313/?ref_=bo_wey_table_54
35,Mar 4-6,104740602,5.9,123219318,0.6,119,The Pacifier,9,https://www.rottentomatoes.com/m/pacifier,https://www.boxofficemojo.com/weekend/2005W09/?ref_=bo_wey_table_53,https://www.boxofficemojo.com/release/rl1416201729/?ref_=bo_wey_table_53
34,Mar 11-13,100272952,-4.3,115208693,-6.5,132,Robots,10,https://www.rottentomatoes.com/m/robots,https://www.boxofficemojo.com/weekend/2005W10/?ref_=bo_wey_table_52,https://www.boxofficemojo.com/release/rl1231848961/?ref_=bo_wey_table_52
33,Mar 18-20,102331011,2.1,116190560,0.9,126,The Ring Two,11,https://www.rottentomatoes.com/m/ring_two,https://www.boxofficemojo.com/weekend/2005W11/?ref_=bo_wey_table_51,https://www.boxofficemojo.com/release/rl493651457/?ref_=bo_wey_table_51
49,Mar 25-27,86905815,-15.1,99273020,-14.6,132,Guess Who,12,https://www.rottentomatoes.com/m/guess_who,https://www.boxofficemojo.com/weekend/2005W12/?ref_=bo_wey_table_50,https://www.boxofficemojo.com/release/rl2404877825/?ref_=bo_wey_table_50
32,Apr 1-3,92823733,6.8,104890040,5.7,132,Sin City,13,https://www.rottentomatoes.com/m/sin_city,https://www.boxofficemojo.com/weekend/2005W13/?ref_=bo_wey_table_48,https://www.boxofficemojo.com/release/rl3027338753/?ref_=bo_wey_table_48
31,Apr 8-10,75815725,-18.3,87116421,-16.9,127,Sahara,14,https://www.rottentomatoes.com/m/1144274-sahara,https://www.boxofficemojo.com/weekend/2005W14/?ref_=bo_wey_table_47,https://www.boxofficemojo.com/release/rl2121238017/?ref_=bo_wey_table_47
30,Apr 15-17,71312645,-5.9,82924921,-4.8,133,The Amityville Horror,15,https://www.rottentomatoes.com/m/amityville_horror,https://www.boxofficemojo.com/weekend/2005W15/?ref_=bo_wey_table_46,https://www.boxofficemojo.com/release/rl2185463297/?ref_=bo_wey_table_46
29,Apr 22-24,78875513,10.6,93782768,13.1,138,The Interpreter,16,https://www.rottentomatoes.com/m/interpreter,https://www.boxofficemojo.com/weekend/2005W16/?ref_=bo_wey_table_45,https://www.boxofficemojo.com/release/rl693798401/?ref_=bo_wey_table_45
28,Apr 29-May 1,78058370,-1.0,91116822,-2.8,141,The Hitchhiker's Guide to the Galaxy,17,https://www.rottentomatoes.com/m/hitchhikers_guide_to_the_galaxy,https://www.boxofficemojo.com/weekend/2005W17/?ref_=bo_wey_table_44,https://www.boxofficemojo.com/release/rl2656667137/?ref_=bo_wey_table_44
27,May 6-8,76115341,-2.5,84990131,-6.7,137,Kingdom of Heaven,18,https://www.rottentomatoes.com/m/kingdom_of_heaven,https://www.boxofficemojo.com/weekend/2005W18/?ref_=bo_wey_table_43,https://www.boxofficemojo.com/release/rl1448904193/?ref_=bo_wey_table_43
26,May 13-15,91747480,20.5,103032623,21.2,137,Monster-in-Law,19,https://www.rottentomatoes.com/m/monsterinlaw,https://www.boxofficemojo.com/weekend/2005W19/?ref_=bo_wey_table_42,https://www.boxofficemojo.com/release/rl1885701633/?ref_=bo_wey_table_42
25,May 20-22,155603666,69.6,162693603,57.9,131,Star Wars: Episode III - Revenge of the Sith,20,https://www.rottentomatoes.com/m/star_wars_episode_iii_revenge_of_the_sith,https://www.boxofficemojo.com/weekend/2005W20/?ref_=bo_wey_table_41,https://www.boxofficemojo.com/release/rl2943583745/?ref_=bo_wey_table_41
48,May 27-29,176095556,13.2,182045804,11.9,112,Star Wars: Episode III - Revenge of the Sith,21,https://www.rottentomatoes.com/m/star_wars_episode_iii_revenge_of_the_sith,https://www.boxofficemojo.com/weekend/2005W21/?ref_=bo_wey_table_40,https://www.boxofficemojo.com/release/rl2943583745/?ref_=bo_wey_table_40
24,Jun 3-5,124821684,-29.1,130535390,-28.3,125,Madagascar,22,https://www.rottentomatoes.com/m/madagascar,https://www.boxofficemojo.com/weekend/2005W22/?ref_=bo_wey_table_38,https://www.boxofficemojo.com/release/rl1398834689/?ref_=bo_wey_table_38
23,Jun 10-12,134230550,7.5,144009425,10.3,134,Mr. & Mrs. Smith,23,https://www.rottentomatoes.com/m/mr_and_mrs_smith,https://www.boxofficemojo.com/weekend/2005W23/?ref_=bo_wey_table_37,https://www.boxofficemojo.com/release/rl2238023169/?ref_=bo_wey_table_37
22,Jun 17-19,127046966,-5.4,135814014,-5.7,136,Batman Begins,24,https://www.rottentomatoes.com/m/batman_begins,https://www.boxofficemojo.com/weekend/2005W24/?ref_=bo_wey_table_36,https://www.boxofficemojo.com/release/rl3510994433/?ref_=bo_wey_table_36
21,Jun 24-26,113398236,-10.7,127341429,-6.2,134,Batman Begins,25,https://www.rottentomatoes.com/m/batman_begins,https://www.boxofficemojo.com/weekend/2005W25/?ref_=bo_wey_table_35,https://www.boxofficemojo.com/release/rl3510994433/?ref_=bo_wey_table_35
47,Jul 1-3,129652252,14.3,142200806,11.7,122,War of the Worlds,26,https://www.rottentomatoes.com/m/war_of_the_worlds,https://www.boxofficemojo.com/weekend/2005W26/?ref_=bo_wey_table_34,https://www.boxofficemojo.com/release/rl544769537/?ref_=bo_wey_table_34
