,weekend,top10gross,top10percentchange,overallgross,overallpercentchange,numreleases,num1release,weeknum,RTLink,weekendlink,num1link
44,Jan 4-6,98217854,-28.2,125252853,-25.0,62,The Lord of the Rings: The Fellowship of the Ring,1,https://www.rottentomatoes.com/m/the_lord_of_the_rings_the_fellowship_of_the_ring,https://www.boxofficemojo.com/weekend/2002W01/?ref_=bo_wey_table_60,https://www.boxofficemojo.com/release/rl4200695297/?ref_=bo_wey_table_60
43,Jan 11-13,83274097,-15.2,108067364,-13.7,59,The Lord of the Rings: The Fellowship of the Ring,2,https://www.rottentomatoes.com/m/the_lord_of_the_rings_the_fellowship_of_the_ring,https://www.boxofficemojo.com/weekend/2002W02/?ref_=bo_wey_table_59,https://www.boxofficemojo.com/release/rl4200695297/?ref_=bo_wey_table_59
51,Jan 18-20,99718554,19.7,121337269,12.3,33,Black Hawk Down,3,https://www.rottentomatoes.com/m/black_hawk_down,https://www.boxofficemojo.com/weekend/2002W03/?ref_=bo_wey_table_58,https://www.boxofficemojo.com/release/rl3678897665/?ref_=bo_wey_table_58
42,Jan 25-27,103940396,4.2,130666944,7.7,62,Black Hawk Down,4,https://www.rottentomatoes.com/m/black_hawk_down,https://www.boxofficemojo.com/weekend/2002W04/?ref_=bo_wey_table_56,https://www.boxofficemojo.com/release/rl3678897665/?ref_=bo_wey_table_56
41,Feb 1-3,73420948,-29.4,99230109,-24.1,60,Black Hawk Down,5,https://www.rottentomatoes.com/m/black_hawk_down,https://www.boxofficemojo.com/weekend/2002W05/?ref_=bo_wey_table_55,https://www.boxofficemojo.com/release/rl3678897665/?ref_=bo_wey_table_55
40,Feb 8-10,78600551,7.1,103464451,4.3,62,Collateral Damage,6,https://www.rottentomatoes.com/m/1110242-collateral_damage,https://www.boxofficemojo.com/weekend/2002W06/?ref_=bo_wey_table_54,https://www.boxofficemojo.com/release/rl1347061249/?ref_=bo_wey_table_54
50,Feb 15-17,97249142,23.7,134890938,30.4,38,John Q,7,https://www.rottentomatoes.com/m/john_q,https://www.boxofficemojo.com/weekend/2002W07/?ref_=bo_wey_table_52,https://www.boxofficemojo.com/release/rl1683850753/?ref_=bo_wey_table_52
39,Feb 22-24,77302434,-20.5,109396905,-18.9,61,Queen of the Damned,8,https://www.rottentomatoes.com/m/queen_of_the_damned,https://www.boxofficemojo.com/weekend/2002W08/?ref_=bo_wey_table_51,https://www.boxofficemojo.com/release/rl3161097729/?ref_=bo_wey_table_51
38,Mar 1-3,77318057,0.1,104329890,-4.6,63,We Were Soldiers,9,https://www.rottentomatoes.com/m/we_were_soldiers,https://www.boxofficemojo.com/weekend/2002W09/?ref_=bo_wey_table_50,https://www.boxofficemojo.com/release/rl2339931649/?ref_=bo_wey_table_50
37,Mar 8-10,78308340,1.3,103031107,-1.2,62,The Time Machine,10,https://www.rottentomatoes.com/m/1112951-time_machine,https://www.boxofficemojo.com/weekend/2002W10/?ref_=bo_wey_table_49,https://www.boxofficemojo.com/release/rl4000613889/?ref_=bo_wey_table_49
36,Mar 15-17,116789443,49.1,138889556,34.8,66,Ice Age,11,https://www.rottentomatoes.com/m/ice_age,https://www.boxofficemojo.com/weekend/2002W11/?ref_=bo_wey_table_48,https://www.boxofficemojo.com/release/rl3277358593/?ref_=bo_wey_table_48
35,Mar 22-24,113639084,-2.7,135267734,-2.6,68,Blade II,12,https://www.rottentomatoes.com/m/blade_ii,https://www.boxofficemojo.com/weekend/2002W12/?ref_=bo_wey_table_47,https://www.boxofficemojo.com/release/rl2152171009/?ref_=bo_wey_table_47
49,Mar 29-31,108914420,-4.2,131718438,-2.6,68,Panic Room,13,https://www.rottentomatoes.com/m/panic_room,https://www.boxofficemojo.com/weekend/2002W13/?ref_=bo_wey_table_45,https://www.boxofficemojo.com/release/rl3077146113/?ref_=bo_wey_table_45
34,Apr 5-7,89287375,-18.0,110330754,-16.2,67,Panic Room,14,https://www.rottentomatoes.com/m/panic_room,https://www.boxofficemojo.com/weekend/2002W14/?ref_=bo_wey_table_44,https://www.boxofficemojo.com/release/rl3077146113/?ref_=bo_wey_table_44
33,Apr 12-14,78604727,-12.0,96495373,-12.5,67,Changing Lanes,15,https://www.rottentomatoes.com/m/changing_lanes,https://www.boxofficemojo.com/weekend/2002W15/?ref_=bo_wey_table_43,https://www.boxofficemojo.com/release/rl1011582465/?ref_=bo_wey_table_43
32,Apr 19-21,88831177,13.0,105535539,9.4,76,The Scorpion King,16,https://www.rottentomatoes.com/m/scorpion_king,https://www.boxofficemojo.com/weekend/2002W16/?ref_=bo_wey_table_42,https://www.boxofficemojo.com/release/rl3731850753/?ref_=bo_wey_table_42
31,Apr 26-28,67131090,-24.4,85154795,-19.3,80,The Scorpion King,17,https://www.rottentomatoes.com/m/scorpion_king,https://www.boxofficemojo.com/weekend/2002W17/?ref_=bo_wey_table_41,https://www.boxofficemojo.com/release/rl3731850753/?ref_=bo_wey_table_41
30,May 3-5,148621966,121.4,163557101,92.1,77,Spider-Man,18,https://www.rottentomatoes.com/m/spiderman,https://www.boxofficemojo.com/weekend/2002W18/?ref_=bo_wey_table_40,https://www.boxofficemojo.com/release/rl678659585/?ref_=bo_wey_table_40
29,May 10-12,112776680,-24.1,126817276,-22.5,79,Spider-Man,19,https://www.rottentomatoes.com/m/spiderman,https://www.boxofficemojo.com/weekend/2002W19/?ref_=bo_wey_table_39,https://www.boxofficemojo.com/release/rl678659585/?ref_=bo_wey_table_39
28,May 17-19,160667616,42.5,170466323,34.4,77,Star Wars: Episode II - Attack of the Clones,20,https://www.rottentomatoes.com/m/star_wars_episode_ii_attack_of_the_clones,https://www.boxofficemojo.com/weekend/2002W20/?ref_=bo_wey_table_38,https://www.boxofficemojo.com/release/rl2809366017/?ref_=bo_wey_table_38
48,May 24-26,150537889,-6.3,155273418,-8.9,31,Star Wars: Episode II - Attack of the Clones,21,https://www.rottentomatoes.com/m/star_wars_episode_ii_attack_of_the_clones,https://www.boxofficemojo.com/weekend/2002W21/?ref_=bo_wey_table_36,https://www.boxofficemojo.com/release/rl2809366017/?ref_=bo_wey_table_36
27,May 31-Jun 2,115078126,-23.6,122236947,-21.3,89,The Sum of All Fears,22,https://www.rottentomatoes.com/m/sum_of_all_fears,https://www.boxofficemojo.com/weekend/2002W22/?ref_=bo_wey_table_35,https://www.boxofficemojo.com/release/rl2675082753/?ref_=bo_wey_table_35
26,Jun 7-9,99891208,-13.2,109266073,-10.6,96,The Sum of All Fears,23,https://www.rottentomatoes.com/m/sum_of_all_fears,https://www.boxofficemojo.com/weekend/2002W23/?ref_=bo_wey_table_34,https://www.boxofficemojo.com/release/rl2675082753/?ref_=bo_wey_table_34
25,Jun 14-16,150600635,50.8,164799565,50.8,102,Scooby-Doo,24,https://www.rottentomatoes.com/m/1112357-scoobydoo,https://www.boxofficemojo.com/weekend/2002W24/?ref_=bo_wey_table_33,https://www.boxofficemojo.com/release/rl3631187457/?ref_=bo_wey_table_33
