,weekend,top10gross,top10percentchange,overallgross,overallpercentchange,numreleases,num1release,weeknum,RTLink,weekendlink,num1link
41,Jan 6-8,97887282,-20.6,128035945,-14.4,94,Hostel,1,https://www.rottentomatoes.com/m/hostel,https://www.boxofficemojo.com/weekend/2006W01/?ref_=bo_wey_table_63,https://www.boxofficemojo.com/release/rl307791361/?ref_=bo_wey_table_63
51,Jan 13-15,92636327,-5.4,126111528,-1.5,91,Glory Road,2,https://www.rottentomatoes.com/m/1155467-glory_road,https://www.boxofficemojo.com/weekend/2006W02/?ref_=bo_wey_table_61,https://www.boxofficemojo.com/release/rl1481934337/?ref_=bo_wey_table_61
40,Jan 20-22,87776641,-5.2,121699037,-3.5,107,Underworld: Evolution,3,https://www.rottentomatoes.com/m/underworld_evolution,https://www.boxofficemojo.com/weekend/2006W03/?ref_=bo_wey_table_60,https://www.boxofficemojo.com/release/rl2406909441/?ref_=bo_wey_table_60
39,Jan 27-29,93425268,6.4,126350780,3.8,113,Big Momma's House 2,4,https://www.rottentomatoes.com/m/1154157-big_mommas_house_2,https://www.boxofficemojo.com/weekend/2006W04/?ref_=bo_wey_table_59,https://www.boxofficemojo.com/release/rl558335489/?ref_=bo_wey_table_59
38,Feb 3-5,76084313,-18.6,106063593,-16.1,120,When a Stranger Calls,5,https://www.rottentomatoes.com/m/1023461-when_a_stranger_calls,https://www.boxofficemojo.com/weekend/2006W05/?ref_=bo_wey_table_58,https://www.boxofficemojo.com/release/rl3615000065/?ref_=bo_wey_table_58
37,Feb 10-12,98949725,30.1,122225918,15.2,120,The Pink Panther,6,https://www.rottentomatoes.com/m/pink_panther,https://www.boxofficemojo.com/weekend/2006W06/?ref_=bo_wey_table_57,https://www.boxofficemojo.com/release/rl2355660289/?ref_=bo_wey_table_57
50,Feb 17-19,106280152,7.4,129840074,6.2,115,Eight Below,7,https://www.rottentomatoes.com/m/eight_below,https://www.boxofficemojo.com/weekend/2006W07/?ref_=bo_wey_table_56,https://www.boxofficemojo.com/release/rl205686273/?ref_=bo_wey_table_56
36,Feb 24-26,94930097,-10.7,120086940,-7.5,129,Madea's Family Reunion,8,https://www.rottentomatoes.com/m/madeas_family_reunion,https://www.boxofficemojo.com/weekend/2006W08/?ref_=bo_wey_table_54,https://www.boxofficemojo.com/release/rl1096844801/?ref_=bo_wey_table_54
35,Mar 3-5,77823578,-18.0,104044555,-13.4,128,Madea's Family Reunion,9,https://www.rottentomatoes.com/m/madeas_family_reunion,https://www.boxofficemojo.com/weekend/2006W09/?ref_=bo_wey_table_53,https://www.boxofficemojo.com/release/rl1096844801/?ref_=bo_wey_table_53
34,Mar 10-12,88857740,14.2,110479677,6.2,127,Failure to Launch,10,https://www.rottentomatoes.com/m/failure_to_launch,https://www.boxofficemojo.com/weekend/2006W10/?ref_=bo_wey_table_52,https://www.boxofficemojo.com/release/rl2421196289/?ref_=bo_wey_table_52
33,Mar 17-19,89715805,1.0,106591480,-3.5,132,V for Vendetta,11,https://www.rottentomatoes.com/m/v_for_vendetta,https://www.boxofficemojo.com/weekend/2006W11/?ref_=bo_wey_table_51,https://www.boxofficemojo.com/release/rl1601799681/?ref_=bo_wey_table_51
32,Mar 24-26,95002772,5.9,109442386,2.7,117,Inside Man,12,https://www.rottentomatoes.com/m/inside_man,https://www.boxofficemojo.com/weekend/2006W12/?ref_=bo_wey_table_50,https://www.boxofficemojo.com/release/rl3394995713/?ref_=bo_wey_table_50
31,Mar 31-Apr 2,127044749,33.7,142136522,29.9,130,Ice Age: The Meltdown,13,https://www.rottentomatoes.com/m/ice_age_2,https://www.boxofficemojo.com/weekend/2006W13/?ref_=bo_wey_table_49,https://www.boxofficemojo.com/release/rl3294135809/?ref_=bo_wey_table_49
30,Apr 7-9,99082969,-22.0,115255502,-18.9,130,Ice Age: The Meltdown,14,https://www.rottentomatoes.com/m/ice_age_2,https://www.boxofficemojo.com/weekend/2006W14/?ref_=bo_wey_table_48,https://www.boxofficemojo.com/release/rl3294135809/?ref_=bo_wey_table_48
49,Apr 14-16,107052016,8.0,120066541,4.2,141,Scary Movie 4,15,https://www.rottentomatoes.com/m/scary_movie_4,https://www.boxofficemojo.com/weekend/2006W15/?ref_=bo_wey_table_46,https://www.boxofficemojo.com/release/rl4084172289/?ref_=bo_wey_table_46
29,Apr 21-23,95425388,-10.9,109656699,-8.7,135,Silent Hill,16,https://www.rottentomatoes.com/m/silent_hill,https://www.boxofficemojo.com/weekend/2006W16/?ref_=bo_wey_table_45,https://www.boxofficemojo.com/release/rl1567720961/?ref_=bo_wey_table_45
28,Apr 28-30,86027988,-9.8,102457813,-6.6,145,RV,17,https://www.rottentomatoes.com/m/rv,https://www.boxofficemojo.com/weekend/2006W17/?ref_=bo_wey_table_44,https://www.boxofficemojo.com/release/rl510625281/?ref_=bo_wey_table_44
27,May 5-7,94591176,10.0,110876301,8.2,129,Mission: Impossible III,18,https://www.rottentomatoes.com/m/mission_impossible_3,https://www.boxofficemojo.com/weekend/2006W18/?ref_=bo_wey_table_43,https://www.boxofficemojo.com/release/rl1348634113/?ref_=bo_wey_table_43
26,May 12-14,80908534,-14.5,99324950,-10.4,129,Mission: Impossible III,19,https://www.rottentomatoes.com/m/mission_impossible_3,https://www.boxofficemojo.com/weekend/2006W19/?ref_=bo_wey_table_42,https://www.boxofficemojo.com/release/rl1348634113/?ref_=bo_wey_table_42
25,May 19-21,153143247,89.3,163353757,64.5,133,The Da Vinci Code,20,https://www.rottentomatoes.com/m/da_vinci_code,https://www.boxofficemojo.com/weekend/2006W20/?ref_=bo_wey_table_41,https://www.boxofficemojo.com/release/rl1632404993/?ref_=bo_wey_table_41
48,May 26-28,186924554,22.1,196256569,20.1,114,X-Men: The Last Stand,21,https://www.rottentomatoes.com/m/x_men_3_the_last_stand,https://www.boxofficemojo.com/weekend/2006W21/?ref_=bo_wey_table_39,https://www.boxofficemojo.com/release/rl1484424705/?ref_=bo_wey_table_39
24,Jun 2-4,128081069,-31.5,135910998,-30.7,122,The Break-Up,22,https://www.rottentomatoes.com/m/break_up,https://www.boxofficemojo.com/weekend/2006W22/?ref_=bo_wey_table_38,https://www.boxofficemojo.com/release/rl894010881/?ref_=bo_wey_table_38
23,Jun 9-11,144546385,12.9,154004019,13.3,123,Cars,23,https://www.rottentomatoes.com/m/cars,https://www.boxofficemojo.com/weekend/2006W23/?ref_=bo_wey_table_37,https://www.boxofficemojo.com/release/rl1195935233/?ref_=bo_wey_table_37
