,weekend,top10gross,top10percentchange,overallgross,overallpercentchange,numreleases,num1release,weeknum,RTLink,weekendlink,num1link
22,Jun 16-18,139818068,-3.3,151751517,-1.5,124,Cars,24,https://www.rottentomatoes.com/m/cars,https://www.boxofficemojo.com/weekend/2006W24/?ref_=bo_wey_table_36,https://www.boxofficemojo.com/release/rl1195935233/?ref_=bo_wey_table_36
21,Jun 23-25,124781927,-10.8,140628407,-7.3,132,Click,25,https://www.rottentomatoes.com/m/cars,https://www.boxofficemojo.com/weekend/2006W25/?ref_=bo_wey_table_35,https://www.boxofficemojo.com/release/rl541754881/?ref_=bo_wey_table_35
47,Jun 30-Jul 2,139186743,11.5,154124212,9.6,117,Superman Returns,26,https://www.rottentomatoes.com/m/superman_returns,https://www.boxofficemojo.com/weekend/2006W26/?ref_=bo_wey_table_34,https://www.boxofficemojo.com/release/rl4067591681/?ref_=bo_wey_table_34
20,Jul 7-9,207346655,49.0,218137021,41.5,119,Pirates of the Caribbean: Dead Man's Chest,27,https://www.rottentomatoes.com/m/pirates_of_the_caribbean_dead_mans_chest,https://www.boxofficemojo.com/weekend/2006W27/?ref_=bo_wey_table_32,https://www.boxofficemojo.com/release/rl4083713537/?ref_=bo_wey_table_32
19,Jul 14-16,147808292,-28.7,159053824,-27.1,121,Pirates of the Caribbean: Dead Man's Chest,28,https://www.rottentomatoes.com/m/pirates_of_the_caribbean_dead_mans_chest,https://www.boxofficemojo.com/weekend/2006W28/?ref_=bo_wey_table_31,https://www.boxofficemojo.com/release/rl4083713537/?ref_=bo_wey_table_31
18,Jul 21-23,137618515,-6.9,150752235,-5.2,123,Pirates of the Caribbean: Dead Man's Chest,29,https://www.rottentomatoes.com/m/pirates_of_the_caribbean_dead_mans_chest,https://www.boxofficemojo.com/weekend/2006W29/?ref_=bo_wey_table_30,https://www.boxofficemojo.com/release/rl4083713537/?ref_=bo_wey_table_30
17,Jul 28-30,108847779,-20.9,131290988,-12.9,124,Miami Vice,30,https://www.rottentomatoes.com/m/miami_vice,https://www.boxofficemojo.com/weekend/2006W30/?ref_=bo_wey_table_29,https://www.boxofficemojo.com/release/rl1231193601/?ref_=bo_wey_table_29
16,Aug 4-6,116349093,6.9,141249114,7.6,122,Talladega Nights: The Ballad of Ricky Bobby,31,https://www.rottentomatoes.com/m/talladega_nights_the_ballad_of_ricky_bobby,https://www.boxofficemojo.com/weekend/2006W31/?ref_=bo_wey_table_28,https://www.boxofficemojo.com/release/rl2422507009/?ref_=bo_wey_table_28
15,Aug 11-13,103779263,-10.8,129295360,-8.5,131,Talladega Nights: The Ballad of Ricky Bobby,32,https://www.rottentomatoes.com/m/talladega_nights_the_ballad_of_ricky_bobby,https://www.boxofficemojo.com/weekend/2006W32/?ref_=bo_wey_table_27,https://www.boxofficemojo.com/release/rl2422507009/?ref_=bo_wey_table_27
14,Aug 18-20,85216005,-17.9,109357973,-15.4,134,Snakes on a Plane,33,https://www.rottentomatoes.com/m/snakes_on_a_plane,https://www.boxofficemojo.com/weekend/2006W33/?ref_=bo_wey_table_26,https://www.boxofficemojo.com/release/rl376473089/?ref_=bo_wey_table_26
13,Aug 25-27,75796177,-11.1,102754813,-6.0,130,Invincible,34,https://www.rottentomatoes.com/m/invincible,https://www.boxofficemojo.com/weekend/2006W34/?ref_=bo_wey_table_25,https://www.boxofficemojo.com/release/rl2069530113/?ref_=bo_wey_table_25
46,Sep 1-3,70735453,-6.7,101692847,-1.0,116,Invincible,35,https://www.rottentomatoes.com/m/invincible,https://www.boxofficemojo.com/weekend/2006W35/?ref_=bo_wey_table_24,https://www.boxofficemojo.com/release/rl2069530113/?ref_=bo_wey_table_24
12,Sep 8-10,49006882,-30.7,71646441,-29.5,126,The Covenant,36,https://www.rottentomatoes.com/m/covenant,https://www.boxofficemojo.com/weekend/2006W36/?ref_=bo_wey_table_22,https://www.boxofficemojo.com/release/rl105743873/?ref_=bo_wey_table_22
11,Sep 15-17,56361184,15.0,77842743,8.6,132,Gridiron Gang,37,https://www.rottentomatoes.com/m/gridiron_gang,https://www.boxofficemojo.com/weekend/2006W37/?ref_=bo_wey_table_21,https://www.boxofficemojo.com/release/rl2975303169/?ref_=bo_wey_table_21
10,Sep 22-24,77173306,36.9,98631092,26.7,141,Jackass Number Two,38,https://www.rottentomatoes.com/m/jackass_number_2,https://www.boxofficemojo.com/weekend/2006W38/?ref_=bo_wey_table_20,https://www.boxofficemojo.com/release/rl2153416193/?ref_=bo_wey_table_20
9,Sep 29-Oct 1,83332898,8.0,100058793,1.4,137,Open Season,39,https://www.rottentomatoes.com/m/open_season,https://www.boxofficemojo.com/weekend/2006W39/?ref_=bo_wey_table_19,https://www.boxofficemojo.com/release/rl3781592577/?ref_=bo_wey_table_19
45,Oct 6-8,98930483,18.7,111811103,11.7,131,The Departed,40,https://www.rottentomatoes.com/m/departed,https://www.boxofficemojo.com/weekend/2006W40/?ref_=bo_wey_table_18,https://www.boxofficemojo.com/release/rl508528129/?ref_=bo_wey_table_18
8,Oct 13-15,96953720,-2.0,111414262,-0.4,139,The Grudge 2,41,https://www.rottentomatoes.com/m/grudge_2,https://www.boxofficemojo.com/weekend/2006W41/?ref_=bo_wey_table_16,https://www.boxofficemojo.com/release/rl2656536065/?ref_=bo_wey_table_16
7,Oct 20-22,81965050,-15.5,105848273,-5.0,130,The Prestige,42,https://www.rottentomatoes.com/m/prestige,https://www.boxofficemojo.com/weekend/2006W42/?ref_=bo_wey_table_15,https://www.boxofficemojo.com/release/rl2573960705/?ref_=bo_wey_table_15
6,Oct 27-29,83339526,1.7,105040730,-0.8,123,Saw III,43,https://www.rottentomatoes.com/m/saw_3,https://www.boxofficemojo.com/weekend/2006W43/?ref_=bo_wey_table_14,https://www.boxofficemojo.com/release/rl2339341825/?ref_=bo_wey_table_14
5,Nov 3-5,108871420,30.6,130461836,24.2,135,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,44,https://www.rottentomatoes.com/m/borat,https://www.boxofficemojo.com/weekend/2006W44/?ref_=bo_wey_table_13,https://www.boxofficemojo.com/release/rl2990966273/?ref_=bo_wey_table_13
4,Nov 10-12,106197176,-2.5,127286971,-2.4,127,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,45,https://www.rottentomatoes.com/m/borat,https://www.boxofficemojo.com/weekend/2006W45/?ref_=bo_wey_table_12,https://www.boxofficemojo.com/release/rl2990966273/?ref_=bo_wey_table_12
44,Nov 17-19,129362388,21.8,146273807,14.9,126,Happy Feet,46,https://www.rottentomatoes.com/m/happy_feet,https://www.boxofficemojo.com/weekend/2006W46/?ref_=bo_wey_table_11,https://www.boxofficemojo.com/release/rl2069267969/?ref_=bo_wey_table_11
3,Nov 24-26,140743238,8.8,161954607,10.7,118,Happy Feet,47,https://www.rottentomatoes.com/m/happy_feet,https://www.boxofficemojo.com/weekend/2006W47/?ref_=bo_wey_table_8,https://www.boxofficemojo.com/release/rl2069267969/?ref_=bo_wey_table_8
2,Dec 1-3,77200141,-45.1,93451551,-42.3,124,Happy Feet,48,https://www.rottentomatoes.com/m/happy_feet,https://www.boxofficemojo.com/weekend/2006W48/?ref_=bo_wey_table_7,https://www.boxofficemojo.com/release/rl2069267969/?ref_=bo_wey_table_7
1,Dec 8-10,82696524,7.1,96707986,3.5,128,Apocalypto,49,https://www.rottentomatoes.com/m/apocalypto,https://www.boxofficemojo.com/weekend/2006W49/?ref_=bo_wey_table_6,https://www.boxofficemojo.com/release/rl1799521793/?ref_=bo_wey_table_6
0,Dec 15-17,106010696,28.2,120864633,25.0,112,The Pursuit of Happyness,50,https://www.rottentomatoes.com/m/pursuit_of_happyness,https://www.boxofficemojo.com/weekend/2006W50/?ref_=bo_wey_table_5,https://www.boxofficemojo.com/release/rl1349158401/?ref_=bo_wey_table_5
43,Dec 22-24,102661049,-3.2,119287485,-1.3,83,Night at the Museum,51,https://www.rottentomatoes.com/m/night_at_the_museum,https://www.boxofficemojo.com/weekend/2006W51/?ref_=bo_wey_table_4,https://www.boxofficemojo.com/release/rl2103936513/?ref_=bo_wey_table_4
42,Dec 29-31,134142131,30.7,162206028,36.0,97,Night at the Museum,52,https://www.rottentomatoes.com/m/night_at_the_museum,https://www.boxofficemojo.com/weekend/2006W52/?ref_=bo_wey_table_2,https://www.boxofficemojo.com/release/rl2103936513/?ref_=bo_wey_table_2
