,weekend,top10gross,top10percentchange,overallgross,overallpercentchange,numreleases,num1release,RTLink,weeknum,weekendlink,num1link
44,Jan 2-4,125851864,-29.5,155083722,-26.0,89,The Hobbit: The Battle of the Five Armies,https://www.rottentomatoes.com/m/the_hobbit_the_battle_of_the_five_armies,1,https://www.boxofficemojo.com/weekend/2015W01/?ref_=bo_wey_table_60,https://www.boxofficemojo.com/release/rl2354677249/?ref_=bo_wey_table_60
43,Jan 9-11,104708370,-16.8,126281581,-18.6,87,Taken 3,https://www.rottentomatoes.com/m/taken_3,2,https://www.boxofficemojo.com/weekend/2015W02/?ref_=bo_wey_table_59,https://www.boxofficemojo.com/release/rl1668646401/?ref_=bo_wey_table_59
51,Jan 16-18,178963570,70.9,203241390,60.9,87,American Sniper,https://www.rottentomatoes.com/m/american_sniper,3,https://www.boxofficemojo.com/weekend/2015W03/?ref_=bo_wey_table_58,https://www.boxofficemojo.com/release/rl2923660801/?ref_=bo_wey_table_58
42,Jan 23-25,136480820,-23.7,159469503,-21.5,93,American Sniper,https://www.rottentomatoes.com/m/american_sniper,4,https://www.boxofficemojo.com/weekend/2015W04/?ref_=bo_wey_table_56,https://www.boxofficemojo.com/release/rl2923660801/?ref_=bo_wey_table_56
41,Jan 30-Feb 1,80089127,-41.3,102289935,-35.9,95,American Sniper,https://www.rottentomatoes.com/m/american_sniper,5,https://www.boxofficemojo.com/weekend/2015W05/?ref_=bo_wey_table_55,https://www.boxofficemojo.com/release/rl2923660801/?ref_=bo_wey_table_55
40,Feb 6-8,132753774,65.8,152017118,48.6,95,The SpongeBob Movie: Sponge Out of Water,https://www.rottentomatoes.com/m/the_spongebob_movie_sponge_out_of_water,6,https://www.boxofficemojo.com/weekend/2015W06/?ref_=bo_wey_table_54,https://www.boxofficemojo.com/release/rl158565889/?ref_=bo_wey_table_54
50,Feb 13-15,196187392,47.8,213956193,40.7,88,Fifty Shades of Grey,https://www.rottentomatoes.com/m/fifty_shades_of_grey,7,https://www.boxofficemojo.com/weekend/2015W07/?ref_=bo_wey_table_52,https://www.boxofficemojo.com/release/rl3980494337/?ref_=bo_wey_table_52
39,Feb 20-22,103802091,-47.1,118837843,-44.5,90,Fifty Shades of Grey,https://www.rottentomatoes.com/m/fifty_shades_of_grey,8,https://www.boxofficemojo.com/weekend/2015W08/?ref_=bo_wey_table_51,https://www.boxofficemojo.com/release/rl3980494337/?ref_=bo_wey_table_51
38,Feb 27-Mar 1,89378196,-13.9,106785872,-10.1,98,Focus,https://www.rottentomatoes.com/m/focus_2014,9,https://www.boxofficemojo.com/weekend/2015W09/?ref_=bo_wey_table_50,https://www.boxofficemojo.com/release/rl189957633/?ref_=bo_wey_table_50
37,Mar 6-8,72251925,-19.2,89415791,-16.3,94,Chappie,https://www.rottentomatoes.com/m/chappie,10,https://www.boxofficemojo.com/weekend/2015W10/?ref_=bo_wey_table_49,https://www.boxofficemojo.com/release/rl709592577/?ref_=bo_wey_table_49
