,weekend,top10gross,top10percentchange,overallgross,overallpercentchange,numreleases,num1release,weeknum,RTLink,weekendlink,num1link
41,Jan 7-9,74169526,-24.9,100279368,-13.6,60,Stuart Little,1,https://www.rottentomatoes.com/m/stuart_little,https://www.boxofficemojo.com/weekend/2000W01/?ref_=bo_wey_table_63,https://www.boxofficemojo.com/release/rl1433568769/?ref_=bo_wey_table_63
51,Jan 14-16,77115947,4.0,84434756,-15.8,14,Next Friday,2,https://www.rottentomatoes.com/m/next_friday,https://www.boxofficemojo.com/weekend/2000W02/?ref_=bo_wey_table_61,https://www.boxofficemojo.com/release/rl845645313/?ref_=bo_wey_table_61
40,Jan 21-23,53118997,-31.1,81906737,-3.0,62,Next Friday,3,https://www.rottentomatoes.com/m/next_friday,https://www.boxofficemojo.com/weekend/2000W03/?ref_=bo_wey_table_60,https://www.boxofficemojo.com/release/rl845645313/?ref_=bo_wey_table_60
39,Jan 28-30,42010952,-20.9,65928374,-19.5,66,Eye of the Beholder,4,https://www.rottentomatoes.com/m/1094646_eye_of_the_beholder,https://www.boxofficemojo.com/weekend/2000W04/?ref_=bo_wey_table_59,https://www.boxofficemojo.com/release/rl3209725441/?ref_=bo_wey_table_59
38,Feb 4-6,67949978,61.7,90957696,38.0,60,Scream 3,5,https://www.rottentomatoes.com/m/scream_3,https://www.boxofficemojo.com/weekend/2000W05/?ref_=bo_wey_table_58,https://www.boxofficemojo.com/release/rl3614410241/?ref_=bo_wey_table_58
37,Feb 11-13,71894913,5.8,92487483,1.7,60,Scream 3,6,https://www.rottentomatoes.com/m/scream_3,https://www.boxofficemojo.com/weekend/2000W06/?ref_=bo_wey_table_57,https://www.boxofficemojo.com/release/rl3614410241/?ref_=bo_wey_table_57
50,Feb 18-20,82586366,14.9,83525618,-9.7,14,The Whole Nine Yards,7,https://www.rottentomatoes.com/m/whole_nine_yards,https://www.boxofficemojo.com/weekend/2000W07/?ref_=bo_wey_table_56,https://www.boxofficemojo.com/release/rl2054915585/?ref_=bo_wey_table_56
36,Feb 25-27,66413722,-19.6,89377098,7.0,63,The Whole Nine Yards,8,https://www.rottentomatoes.com/m/whole_nine_yards,https://www.boxofficemojo.com/weekend/2000W08/?ref_=bo_wey_table_54,https://www.boxofficemojo.com/release/rl2054915585/?ref_=bo_wey_table_54
35,Mar 3-5,51441138,-22.5,82045813,-8.2,60,The Whole Nine Yards,9,https://www.rottentomatoes.com/m/whole_nine_yards,https://www.boxofficemojo.com/weekend/2000W09/?ref_=bo_wey_table_53,https://www.boxofficemojo.com/release/rl2054915585/?ref_=bo_wey_table_53
34,Mar 10-12,61089854,18.8,86153049,5.0,63,Mission to Mars,10,https://www.rottentomatoes.com/m/mission_to_mars,https://www.boxofficemojo.com/weekend/2000W10/?ref_=bo_wey_table_52,https://www.boxofficemojo.com/release/rl3596781057/?ref_=bo_wey_table_52
33,Mar 17-19,71227498,16.6,91496788,6.2,63,Erin Brockovich,11,https://www.rottentomatoes.com/m/erin_brockovich,https://www.boxofficemojo.com/weekend/2000W11/?ref_=bo_wey_table_51,https://www.boxofficemojo.com/release/rl3612444161/?ref_=bo_wey_table_51
32,Mar 24-26,70001108,-1.7,86020007,-6.0,63,Erin Brockovich,12,https://www.rottentomatoes.com/m/erin_brockovich,https://www.boxofficemojo.com/weekend/2000W12/?ref_=bo_wey_table_50,https://www.boxofficemojo.com/release/rl3612444161/?ref_=bo_wey_table_50
31,Mar 31-Apr 2,72074699,3.0,88227200,2.6,65,Erin Brockovich,13,https://www.rottentomatoes.com/m/erin_brockovich,https://www.boxofficemojo.com/weekend/2000W13/?ref_=bo_wey_table_49,https://www.boxofficemojo.com/release/rl3612444161/?ref_=bo_wey_table_49
30,Apr 7-9,69411543,-3.7,84434134,-4.3,62,Rules of Engagement,14,https://www.rottentomatoes.com/m/rules_of_engagement,https://www.boxofficemojo.com/weekend/2000W14/?ref_=bo_wey_table_48,https://www.boxofficemojo.com/release/rl3412887041/?ref_=bo_wey_table_48
29,Apr 14-16,62238028,-10.3,80926532,-4.2,63,Rules of Engagement,15,https://www.rottentomatoes.com/m/rules_of_engagement,https://www.boxofficemojo.com/weekend/2000W15/?ref_=bo_wey_table_47,https://www.boxofficemojo.com/release/rl3412887041/?ref_=bo_wey_table_47
49,Apr 21-23,70397639,13.1,90836595,12.2,64,U-571,16,https://www.rottentomatoes.com/m/u571,https://www.boxofficemojo.com/weekend/2000W16/?ref_=bo_wey_table_46,https://www.boxofficemojo.com/release/rl1249281537/?ref_=bo_wey_table_46
28,Apr 28-30,64213479,-8.8,82289508,-9.4,66,U-571,17,https://www.rottentomatoes.com/m/u571,https://www.boxofficemojo.com/weekend/2000W17/?ref_=bo_wey_table_44,https://www.boxofficemojo.com/release/rl1249281537/?ref_=bo_wey_table_44
27,May 5-7,73974852,15.2,87750139,6.6,62,Gladiator,18,https://www.rottentomatoes.com/m/gladiator,https://www.boxofficemojo.com/weekend/2000W18/?ref_=bo_wey_table_43,https://www.boxofficemojo.com/release/rl2136245761/?ref_=bo_wey_table_43
26,May 12-14,67300737,-9.0,85146893,-3.0,63,Gladiator,19,https://www.rottentomatoes.com/m/gladiator,https://www.boxofficemojo.com/weekend/2000W19/?ref_=bo_wey_table_42,https://www.boxofficemojo.com/release/rl2136245761/?ref_=bo_wey_table_42
25,May 19-21,99438784,47.8,115459655,35.6,61,Dinosaur,20,https://www.rottentomatoes.com/m/1097046_dinosaur,https://www.boxofficemojo.com/weekend/2000W20/?ref_=bo_wey_table_41,https://www.boxofficemojo.com/release/rl2605680129/?ref_=bo_wey_table_41
48,May 26-28,106840609,7.4,107680124,-6.7,15,Mission: Impossible II,21,https://www.rottentomatoes.com/m/mission_impossible_2,https://www.boxofficemojo.com/weekend/2000W21/?ref_=bo_wey_table_40,https://www.boxofficemojo.com/release/rl1600292353/?ref_=bo_wey_table_40
24,Jun 2-4,95077357,-11.0,103718934,-3.7,61,Mission: Impossible II,22,https://www.rottentomatoes.com/m/mission_impossible_2,https://www.boxofficemojo.com/weekend/2000W22/?ref_=bo_wey_table_38,https://www.boxofficemojo.com/release/rl1600292353/?ref_=bo_wey_table_38
23,Jun 9-11,90433502,-4.9,98689480,-4.8,65,Gone in 60 Seconds,23,https://www.rottentomatoes.com/m/1097865_gone_in_60_seconds,https://www.boxofficemojo.com/weekend/2000W23/?ref_=bo_wey_table_37,https://www.boxofficemojo.com/release/rl2203354625/?ref_=bo_wey_table_37
22,Jun 16-18,94155016,4.1,105362443,6.8,60,Shaft,24,https://www.rottentomatoes.com/m/1098038_shaft,https://www.boxofficemojo.com/weekend/2000W24/?ref_=bo_wey_table_36,https://www.boxofficemojo.com/release/rl2322499073/?ref_=bo_wey_table_36
21,Jun 23-25,94088127,0.1,105961710,0.6,60,"Me, Myself & Irene",25,https://www.rottentomatoes.com/m/me_myself_and_irene,https://www.boxofficemojo.com/weekend/2000W25/?ref_=bo_wey_table_35,https://www.boxofficemojo.com/release/rl274892289/?ref_=bo_wey_table_35
47,Jun 30-Jul 2,122460933,30.2,133800274,26.3,68,The Perfect Storm,26,https://www.rottentomatoes.com/m/perfect_storm,https://www.boxofficemojo.com/weekend/2000W26/?ref_=bo_wey_table_34,https://www.boxofficemojo.com/release/rl661161473/?ref_=bo_wey_table_34
20,Jul 7-9,131658470,7.5,145203291,8.5,74,Scary Movie,27,https://www.rottentomatoes.com/m/scary_movie,https://www.boxofficemojo.com/weekend/2000W27/?ref_=bo_wey_table_32,https://www.boxofficemojo.com/release/rl4033840641/?ref_=bo_wey_table_32
19,Jul 14-16,140259924,6.5,153097674,5.4,79,X-Men,28,https://www.rottentomatoes.com/m/xmen,https://www.boxofficemojo.com/weekend/2000W28/?ref_=bo_wey_table_31,https://www.boxofficemojo.com/release/rl1383761409/?ref_=bo_wey_table_31
18,Jul 21-23,124114586,-11.5,137744966,-10.0,70,What Lies Beneath,29,https://www.rottentomatoes.com/m/what_lies_beneath,https://www.boxofficemojo.com/weekend/2000W29/?ref_=bo_wey_table_30,https://www.boxofficemojo.com/release/rl4084762113/?ref_=bo_wey_table_30
17,Jul 28-30,117342589,-5.5,131946607,-4.2,71,Nutty Professor II: The Klumps,30,https://www.rottentomatoes.com/m/nutty_professor_ii_the_klumps,https://www.boxofficemojo.com/weekend/2000W30/?ref_=bo_wey_table_29,https://www.boxofficemojo.com/release/rl2388428289/?ref_=bo_wey_table_29
16,Aug 4-6,114097294,-2.8,128615532,-2.5,69,Hollow Man,31,https://www.rottentomatoes.com/m/hollow_man,https://www.boxofficemojo.com/weekend/2000W31/?ref_=bo_wey_table_28,https://www.boxofficemojo.com/release/rl4065953281/?ref_=bo_wey_table_28
15,Aug 11-13,92196014,-19.2,108873220,-15.3,73,Hollow Man,32,https://www.rottentomatoes.com/m/hollow_man,https://www.boxofficemojo.com/weekend/2000W32/?ref_=bo_wey_table_27,https://www.boxofficemojo.com/release/rl4065953281/?ref_=bo_wey_table_27
