,weekend,top10gross,top10percentchange,overallgross,overallpercentchange,numreleases,num1release,RTLink,weeknum,weekendlink,num1link
44,Jan 2-4,114997701,-27.9,142178745,-23.9,112,The Lord of the Rings: The Return of the King,https://www.rottentomatoes.com/m/the_lord_of_the_rings_the_return_of_the_king,1,https://www.boxofficemojo.com/weekend/2004W01/?ref_=bo_wey_table_62,https://www.boxofficemojo.com/release/rl4251026945/?ref_=bo_wey_table_62
43,Jan 9-11,83360349,-27.5,106710072,-24.9,113,The Lord of the Rings: The Return of the King,https://www.rottentomatoes.com/m/the_lord_of_the_rings_the_return_of_the_king,2,https://www.boxofficemojo.com/weekend/2004W02/?ref_=bo_wey_table_61,https://www.boxofficemojo.com/release/rl4251026945/?ref_=bo_wey_table_61
52,Jan 16-18,90004004,8.0,114544298,7.3,80,Along Came Polly,https://www.rottentomatoes.com/m/along_came_polly,3,https://www.boxofficemojo.com/weekend/2004W03/?ref_=bo_wey_table_60,https://www.boxofficemojo.com/release/rl2084800001/?ref_=bo_wey_table_60
42,Jan 23-25,77928970,-13.4,101223700,-11.6,117,The Butterfly Effect,https://www.rottentomatoes.com/m/butterfly_effect,4,https://www.boxofficemojo.com/weekend/2004W04/?ref_=bo_wey_table_58,https://www.boxofficemojo.com/release/rl3511256577/?ref_=bo_wey_table_58
41,Jan 30-Feb 1,67426484,-13.5,97110577,-4.1,123,You Got Served,https://www.rottentomatoes.com/m/you_got_served,5,https://www.boxofficemojo.com/weekend/2004W05/?ref_=bo_wey_table_57,https://www.boxofficemojo.com/release/rl2491057665/?ref_=bo_wey_table_57
40,Feb 6-8,85154544,26.3,112513674,15.9,121,Barbershop 2: Back in Business,https://www.rottentomatoes.com/m/barbershop_2_back_in_business,6,https://www.boxofficemojo.com/weekend/2004W06/?ref_=bo_wey_table_56,https://www.boxofficemojo.com/release/rl2269480449/?ref_=bo_wey_table_56
51,Feb 13-15,100035678,17.5,124464141,10.6,86,50 First Dates,https://www.rottentomatoes.com/m/50_first_dates,7,https://www.boxofficemojo.com/weekend/2004W07/?ref_=bo_wey_table_54,https://www.boxofficemojo.com/release/rl3963717121/?ref_=bo_wey_table_54
39,Feb 20-22,69238343,-30.8,94577585,-24.0,137,50 First Dates,https://www.rottentomatoes.com/m/50_first_dates,8,https://www.boxofficemojo.com/weekend/2004W08/?ref_=bo_wey_table_53,https://www.boxofficemojo.com/release/rl3963717121/?ref_=bo_wey_table_53
38,Feb 27-29,135527084,95.7,156602992,65.6,132,The Passion of the Christ,https://www.rottentomatoes.com/m/passion_of_the_christ,9,https://www.boxofficemojo.com/weekend/2004W09/?ref_=bo_wey_table_52,https://www.boxofficemojo.com/release/rl3781789185/?ref_=bo_wey_table_52
37,Mar 5-7,127593283,-5.9,144126447,-8.0,119,The Passion of the Christ,https://www.rottentomatoes.com/m/passion_of_the_christ,10,https://www.boxofficemojo.com/weekend/2004W10/?ref_=bo_wey_table_51,https://www.boxofficemojo.com/release/rl3781789185/?ref_=bo_wey_table_51
36,Mar 12-14,101274843,-20.6,117808450,-18.3,132,The Passion of the Christ,https://www.rottentomatoes.com/m/passion_of_the_christ,11,https://www.boxofficemojo.com/weekend/2004W11/?ref_=bo_wey_table_50,https://www.boxofficemojo.com/release/rl3781789185/?ref_=bo_wey_table_50
