,weekend,top10gross,top10percentchange,overallgross,overallpercentchange,numreleases,num1release,RTLink,weeknum,weekendlink,num1link
42,Jan 5-7,95437440,-28.9,132739670,-18.2,102,Night at the Museum,https://www.rottentomatoes.com/m/night_at_the_museum,1,https://www.boxofficemojo.com/weekend/2007W01/?ref_=bo_wey_table_62,https://www.boxofficemojo.com/release/rl2103936513/?ref_=bo_wey_table_62
51,Jan 12-14,90498028,-5.2,127921516,-3.6,96,Stomp the Yard,https://www.rottentomatoes.com/m/stomp_the_yard,2,https://www.boxofficemojo.com/weekend/2007W02/?ref_=bo_wey_table_60,https://www.boxofficemojo.com/release/rl3866330625/?ref_=bo_wey_table_60
41,Jan 19-21,67053906,-25.9,100056605,-21.8,105,Stomp the Yard,https://www.rottentomatoes.com/m/stomp_the_yard,3,https://www.boxofficemojo.com/weekend/2007W03/?ref_=bo_wey_table_59,https://www.boxofficemojo.com/release/rl3866330625/?ref_=bo_wey_table_59
40,Jan 26-28,82251314,22.7,118760415,18.7,106,Epic Movie,https://www.rottentomatoes.com/m/epic_movie,4,https://www.boxofficemojo.com/weekend/2007W04/?ref_=bo_wey_table_58,https://www.boxofficemojo.com/release/rl3746661889/?ref_=bo_wey_table_58
39,Feb 2-4,66162832,-19.6,92529640,-22.1,119,The Messengers,https://www.rottentomatoes.com/m/the_messengers,5,https://www.boxofficemojo.com/weekend/2007W05/?ref_=bo_wey_table_57,https://www.boxofficemojo.com/release/rl2002945537/?ref_=bo_wey_table_57
38,Feb 9-11,87192120,31.8,112489027,21.6,113,Norbit,https://www.rottentomatoes.com/m/norbit,6,https://www.boxofficemojo.com/weekend/2007W06/?ref_=bo_wey_table_56,https://www.boxofficemojo.com/release/rl2590475777/?ref_=bo_wey_table_56
50,Feb 16-18,138054963,58.3,158169212,40.6,95,Ghost Rider,https://www.rottentomatoes.com/m/ghost_rider,7,https://www.boxofficemojo.com/weekend/2007W07/?ref_=bo_wey_table_55,https://www.boxofficemojo.com/release/rl3579151873/?ref_=bo_wey_table_55
37,Feb 23-25,96852706,-29.8,118011674,-25.4,107,Ghost Rider,https://www.rottentomatoes.com/m/ghost_rider,8,https://www.boxofficemojo.com/weekend/2007W08/?ref_=bo_wey_table_53,https://www.boxofficemojo.com/release/rl3579151873/?ref_=bo_wey_table_53
36,Mar 2-4,103593442,7.0,124707324,5.7,112,Wild Hogs,https://www.rottentomatoes.com/m/wild_hogs,9,https://www.boxofficemojo.com/weekend/2007W09/?ref_=bo_wey_table_52,https://www.boxofficemojo.com/release/rl1098614273/?ref_=bo_wey_table_52
35,Mar 9-11,135961063,31.2,152783904,22.5,112,300,https://www.rottentomatoes.com/m/300,10,https://www.boxofficemojo.com/weekend/2007W10/?ref_=bo_wey_table_51,https://www.boxofficemojo.com/release/rl3191965185/?ref_=bo_wey_table_51
34,Mar 16-18,100707696,-25.9,117624773,-23.0,119,300,https://www.rottentomatoes.com/m/300,11,https://www.boxofficemojo.com/weekend/2007W11/?ref_=bo_wey_table_50,https://www.boxofficemojo.com/release/rl3191965185/?ref_=bo_wey_table_50
33,Mar 23-25,116375315,15.6,135737194,15.4,126,TMNT,https://www.rottentomatoes.com/m/tmnt_2007,12,https://www.boxofficemojo.com/weekend/2007W12/?ref_=bo_wey_table_49,https://www.boxofficemojo.com/release/rl3564406273/?ref_=bo_wey_table_49
32,Mar 30-Apr 1,113066760,-2.8,127387634,-6.2,112,Blades of Glory,https://www.rottentomatoes.com/m/blades_of_glory,13,https://www.boxofficemojo.com/weekend/2007W13/?ref_=bo_wey_table_48,https://www.boxofficemojo.com/release/rl2202502657/?ref_=bo_wey_table_48
49,Apr 6-8,104656515,-7.4,124296706,-2.4,123,Blades of Glory,https://www.rottentomatoes.com/m/blades_of_glory,14,https://www.boxofficemojo.com/weekend/2007W14/?ref_=bo_wey_table_47,https://www.boxofficemojo.com/release/rl2202502657/?ref_=bo_wey_table_47
31,Apr 13-15,91708525,-12.4,118823289,-4.4,119,Disturbia,https://www.rottentomatoes.com/m/disturbia,15,https://www.boxofficemojo.com/weekend/2007W15/?ref_=bo_wey_table_45,https://www.boxofficemojo.com/release/rl3947857409/?ref_=bo_wey_table_45
30,Apr 20-22,69094827,-24.7,88630700,-25.4,126,Disturbia,https://www.rottentomatoes.com/m/disturbia,16,https://www.boxofficemojo.com/weekend/2007W16/?ref_=bo_wey_table_44,https://www.boxofficemojo.com/release/rl3947857409/?ref_=bo_wey_table_44
29,Apr 27-29,57110548,-17.3,77936969,-12.1,128,Disturbia,https://www.rottentomatoes.com/m/disturbia,17,https://www.boxofficemojo.com/weekend/2007W17/?ref_=bo_wey_table_43,https://www.boxofficemojo.com/release/rl3947857409/?ref_=bo_wey_table_43
28,May 4-6,178072412,211.8,189411053,143.0,129,Spider-Man 3,https://www.rottentomatoes.com/m/spiderman_3,18,https://www.boxofficemojo.com/weekend/2007W18/?ref_=bo_wey_table_42,https://www.boxofficemojo.com/release/rl913540609/?ref_=bo_wey_table_42
27,May 11-13,93311787,-47.6,106297940,-43.9,129,Spider-Man 3,https://www.rottentomatoes.com/m/spiderman_3,19,https://www.boxofficemojo.com/weekend/2007W19/?ref_=bo_wey_table_41,https://www.boxofficemojo.com/release/rl913540609/?ref_=bo_wey_table_41
26,May 18-20,171457637,83.7,181999108,71.2,127,Shrek the Third,https://www.rottentomatoes.com/m/shrek_3,20,https://www.boxofficemojo.com/weekend/2007W20/?ref_=bo_wey_table_40,https://www.boxofficemojo.com/release/rl40994305/?ref_=bo_wey_table_40
48,May 25-27,197493249,15.2,205905629,13.1,105,Pirates of the Caribbean: At World's End,https://www.rottentomatoes.com/m/pirates_of_the_caribbean_3,21,https://www.boxofficemojo.com/weekend/2007W21/?ref_=bo_wey_table_39,https://www.boxofficemojo.com/release/rl4100490753/?ref_=bo_wey_table_39
25,Jun 1-3,127496396,-35.4,134750222,-34.6,117,Pirates of the Caribbean: At World's End,https://www.rottentomatoes.com/m/pirates_of_the_caribbean_3,22,https://www.boxofficemojo.com/weekend/2007W22/?ref_=bo_wey_table_37,https://www.boxofficemojo.com/release/rl4100490753/?ref_=bo_wey_table_37
24,Jun 8-10,129422051,1.5,135804030,0.8,128,Ocean's Thirteen,https://www.rottentomatoes.com/m/oceans_thirteen,23,https://www.boxofficemojo.com/weekend/2007W23/?ref_=bo_wey_table_36,https://www.boxofficemojo.com/release/rl442926593/?ref_=bo_wey_table_36
23,Jun 15-17,137781216,6.5,145423976,7.1,126,Fantastic 4: Rise of the Silver Surfer,https://www.rottentomatoes.com/m/fantastic_four_2_rise_of_the_silver_surfer,24,https://www.boxofficemojo.com/weekend/2007W24/?ref_=bo_wey_table_35,https://www.boxofficemojo.com/release/rl3679487489/?ref_=bo_wey_table_35
22,Jun 22-24,121972345,-11.5,131579486,-9.5,124,Evan Almighty,https://www.rottentomatoes.com/m/evan_almighty,25,https://www.boxofficemojo.com/weekend/2007W25/?ref_=bo_wey_table_34,https://www.boxofficemojo.com/release/rl609256961/?ref_=bo_wey_table_34
21,Jun 29-Jul 1,141710943,16.2,155438401,18.1,108,Ratatouille,https://www.rottentomatoes.com/m/ratatouille,26,https://www.boxofficemojo.com/weekend/2007W26/?ref_=bo_wey_table_33,https://www.boxofficemojo.com/release/rl846038529/?ref_=bo_wey_table_33
20,Jul 6-8,160065416,13.0,174001621,11.9,107,Transformers,https://www.rottentomatoes.com/m/transformers_the_movie,27,https://www.boxofficemojo.com/weekend/2007W27/?ref_=bo_wey_table_32,https://www.boxofficemojo.com/release/rl3010954753/?ref_=bo_wey_table_32
19,Jul 13-15,168833476,5.5,181217612,4.1,121,Harry Potter and the Order of the Phoenix,https://www.rottentomatoes.com/m/harry_potter_and_the_order_of_the_phoenix,28,https://www.boxofficemojo.com/weekend/2007W28/?ref_=bo_wey_table_31,https://www.boxofficemojo.com/release/rl1215006209/?ref_=bo_wey_table_31
18,Jul 20-22,144104368,-14.6,155592597,-14.1,111,I Now Pronounce You Chuck & Larry,https://www.rottentomatoes.com/m/i_now_pronounce_you_chuck_and_larry,29,https://www.boxofficemojo.com/weekend/2007W29/?ref_=bo_wey_table_30,https://www.boxofficemojo.com/release/rl2303428097/?ref_=bo_wey_table_30
17,Jul 27-29,169137597,17.4,184568929,18.6,113,The Simpsons Movie,https://www.rottentomatoes.com/m/simpsons_movie,30,https://www.boxofficemojo.com/weekend/2007W30/?ref_=bo_wey_table_29,https://www.boxofficemojo.com/release/rl3195110913/?ref_=bo_wey_table_29
16,Aug 3-5,157482640,-6.9,177462412,-3.9,106,The Bourne Ultimatum,https://www.rottentomatoes.com/m/bourne_ultimatum,31,https://www.boxofficemojo.com/weekend/2007W31/?ref_=bo_wey_table_28,https://www.boxofficemojo.com/release/rl2504427009/?ref_=bo_wey_table_28
