,weekend,top10gross,top10percentchange,overallgross,overallpercentchange,numreleases,num1release,weeknum,weekendlink,num1link
42,Jan 5-7,99460710,-11.4,120826306,3.0,63,Cast Away,1,https://www.boxofficemojo.com/weekend/2001W01/?ref_=bo_wey_table_62,https://www.boxofficemojo.com/release/rl2772993537/?ref_=bo_wey_table_62
51,Jan 12-14,79336430,-20.2,79359986,-34.3,13,Save the Last Dance,2,https://www.boxofficemojo.com/weekend/2001W02/?ref_=bo_wey_table_60,https://www.boxofficemojo.com/release/rl2641331713/?ref_=bo_wey_table_60
41,Jan 19-21,80780055,1.8,112647941,41.9,64,Save the Last Dance,3,https://www.boxofficemojo.com/weekend/2001W03/?ref_=bo_wey_table_59,https://www.boxofficemojo.com/release/rl2641331713/?ref_=bo_wey_table_59
40,Jan 26-28,66851732,-17.2,96828931,-14.0,64,The Wedding Planner,4,https://www.boxofficemojo.com/weekend/2001W04/?ref_=bo_wey_table_58,https://www.boxofficemojo.com/release/rl1131972097/?ref_=bo_wey_table_58
39,Feb 2-4,65065730,-2.7,100594670,3.9,61,The Wedding Planner,5,https://www.boxofficemojo.com/weekend/2001W05/?ref_=bo_wey_table_57,https://www.boxofficemojo.com/release/rl1131972097/?ref_=bo_wey_table_57
38,Feb 9-11,102923335,58.2,127345704,26.6,63,Hannibal,6,https://www.boxofficemojo.com/weekend/2001W06/?ref_=bo_wey_table_56,https://www.boxofficemojo.com/release/rl357991937/?ref_=bo_wey_table_56
50,Feb 16-18,82556340,-19.8,82615288,-35.1,11,Hannibal,7,https://www.boxofficemojo.com/weekend/2001W07/?ref_=bo_wey_table_55,https://www.boxofficemojo.com/release/rl357991937/?ref_=bo_wey_table_55
37,Feb 23-25,69754742,-15.5,90550659,9.6,61,Hannibal,8,https://www.boxofficemojo.com/weekend/2001W08/?ref_=bo_wey_table_53,https://www.boxofficemojo.com/release/rl357991937/?ref_=bo_wey_table_53
36,Mar 2-4,70619092,1.2,89219000,-1.5,63,The Mexican,9,https://www.boxofficemojo.com/weekend/2001W09/?ref_=bo_wey_table_52,https://www.boxofficemojo.com/release/rl1516406273/?ref_=bo_wey_table_52
35,Mar 9-11,59297702,-16.0,75445695,-15.4,64,The Mexican,10,https://www.boxofficemojo.com/weekend/2001W10/?ref_=bo_wey_table_51,https://www.boxofficemojo.com/release/rl1516406273/?ref_=bo_wey_table_51
34,Mar 16-18,68073729,14.8,84494688,12.0,61,Exit Wounds,11,https://www.boxofficemojo.com/weekend/2001W11/?ref_=bo_wey_table_50,https://www.boxofficemojo.com/release/rl1733330433/?ref_=bo_wey_table_50
33,Mar 23-25,63033676,-7.4,81287761,-3.8,62,Heartbreakers,12,https://www.boxofficemojo.com/weekend/2001W12/?ref_=bo_wey_table_49,https://www.boxofficemojo.com/release/rl4065756673/?ref_=bo_wey_table_49
32,Mar 30-Apr 1,78251050,24.1,96320306,18.5,62,Spy Kids,13,https://www.boxofficemojo.com/weekend/2001W13/?ref_=bo_wey_table_48,https://www.boxofficemojo.com/release/rl1903396353/?ref_=bo_wey_table_48
31,Apr 6-8,76825254,-1.8,95105210,-1.3,62,Spy Kids,14,https://www.boxofficemojo.com/weekend/2001W14/?ref_=bo_wey_table_47,https://www.boxofficemojo.com/release/rl1903396353/?ref_=bo_wey_table_47
49,Apr 13-15,70892715,-7.7,89542539,-5.8,64,Spy Kids,15,https://www.boxofficemojo.com/weekend/2001W15/?ref_=bo_wey_table_45,https://www.boxofficemojo.com/release/rl1903396353/?ref_=bo_wey_table_45
