,weekend,top10gross,top10percentchange,overallgross,overallpercentchange,numreleases,num1release,weeknum,weekendlink,num1link
44,Jan 3-5,102574723,-31.3,130224669,-27.5,123,The Lord of the Rings: The Two Towers,1,https://www.boxofficemojo.com/weekend/2003W01/?ref_=bo_wey_table_60,https://www.boxofficemojo.com/release/rl4032923137/?ref_=bo_wey_table_60
43,Jan 10-12,82340691,-19.7,111631661,-14.3,115,Just Married,2,https://www.boxofficemojo.com/weekend/2003W02/?ref_=bo_wey_table_59,https://www.boxofficemojo.com/release/rl4233987585/?ref_=bo_wey_table_59
51,Jan 17-19,93826020,13.9,124366588,11.4,86,Kangaroo Jack,3,https://www.boxofficemojo.com/weekend/2003W03/?ref_=bo_wey_table_58,https://www.boxofficemojo.com/release/rl3546121729/?ref_=bo_wey_table_58
42,Jan 24-26,74311778,-20.8,101354409,-18.5,127,Darkness Falls,4,https://www.boxofficemojo.com/weekend/2003W04/?ref_=bo_wey_table_56,https://www.boxofficemojo.com/release/rl21792257/?ref_=bo_wey_table_56
41,Jan 31-Feb 2,85451156,15.0,117024874,15.5,122,The Recruit,5,https://www.boxofficemojo.com/weekend/2003W05/?ref_=bo_wey_table_55,https://www.boxofficemojo.com/release/rl2020443649/?ref_=bo_wey_table_55
40,Feb 7-9,96780739,13.3,122002627,4.3,120,How to Lose a Guy in 10 Days,6,https://www.boxofficemojo.com/weekend/2003W06/?ref_=bo_wey_table_54,https://www.boxofficemojo.com/release/rl2925037057/?ref_=bo_wey_table_54
50,Feb 14-16,118587785,22.5,144945634,18.8,80,Daredevil,7,https://www.boxofficemojo.com/weekend/2003W07/?ref_=bo_wey_table_52,https://www.boxofficemojo.com/release/rl424445441/?ref_=bo_wey_table_52
39,Feb 21-23,89941443,-24.2,113574282,-21.6,125,Daredevil,8,https://www.boxofficemojo.com/weekend/2003W08/?ref_=bo_wey_table_51,https://www.boxofficemojo.com/release/rl424445441/?ref_=bo_wey_table_51
38,Feb 28-Mar 2,82258706,-8.5,105015555,-7.5,124,Cradle 2 the Grave,9,https://www.boxofficemojo.com/weekend/2003W09/?ref_=bo_wey_table_50,https://www.boxofficemojo.com/release/rl1984792065/?ref_=bo_wey_table_50
37,Mar 7-9,91857671,11.7,110395162,5.1,134,Bringing Down the House,10,https://www.boxofficemojo.com/weekend/2003W10/?ref_=bo_wey_table_49,https://www.boxofficemojo.com/release/rl2068416001/?ref_=bo_wey_table_49
36,Mar 14-16,87369412,-4.9,106734517,-3.3,127,Bringing Down the House,11,https://www.boxofficemojo.com/weekend/2003W11/?ref_=bo_wey_table_48,https://www.boxofficemojo.com/release/rl2068416001/?ref_=bo_wey_table_48
35,Mar 21-23,78907557,-9.7,98048792,-8.1,127,Bringing Down the House,12,https://www.boxofficemojo.com/weekend/2003W12/?ref_=bo_wey_table_47,https://www.boxofficemojo.com/release/rl2068416001/?ref_=bo_wey_table_47
34,Mar 28-30,82355910,4.4,104350504,6.4,138,Head of State,13,https://www.boxofficemojo.com/weekend/2003W13/?ref_=bo_wey_table_46,https://www.boxofficemojo.com/release/rl2388035073/?ref_=bo_wey_table_46
33,Apr 4-6,77836780,-5.5,99275914,-4.9,146,Phone Booth,14,https://www.boxofficemojo.com/weekend/2003W14/?ref_=bo_wey_table_45,https://www.boxofficemojo.com/release/rl2959640065/?ref_=bo_wey_table_45
32,Apr 11-13,81221364,4.3,98968796,-0.3,146,Anger Management,15,https://www.boxofficemojo.com/weekend/2003W15/?ref_=bo_wey_table_44,https://www.boxofficemojo.com/release/rl3259205121/?ref_=bo_wey_table_44
49,Apr 18-20,83540823,2.9,107016649,8.1,155,Anger Management,16,https://www.boxofficemojo.com/weekend/2003W16/?ref_=bo_wey_table_43,https://www.boxofficemojo.com/release/rl3259205121/?ref_=bo_wey_table_43
31,Apr 25-27,71671372,-14.2,92944624,-13.1,159,Identity,17,https://www.boxofficemojo.com/weekend/2003W17/?ref_=bo_wey_table_41,https://www.boxofficemojo.com/release/rl760972801/?ref_=bo_wey_table_41
30,May 2-4,138756540,93.6,153798795,65.5,163,X2: X-Men United,18,https://www.boxofficemojo.com/weekend/2003W18/?ref_=bo_wey_table_40,https://www.boxofficemojo.com/release/rl1736082945/?ref_=bo_wey_table_40
29,May 9-11,100308486,-27.7,112511782,-26.8,148,X2: X-Men United,19,https://www.boxofficemojo.com/weekend/2003W19/?ref_=bo_wey_table_39,https://www.boxofficemojo.com/release/rl1736082945/?ref_=bo_wey_table_39
28,May 16-18,153155481,52.7,161618359,43.6,156,The Matrix Reloaded,20,https://www.boxofficemojo.com/weekend/2003W20/?ref_=bo_wey_table_38,https://www.boxofficemojo.com/release/rl4167271937/?ref_=bo_wey_table_38
48,May 23-25,150430213,-1.8,160203898,-0.9,91,Bruce Almighty,21,https://www.boxofficemojo.com/weekend/2003W21/?ref_=bo_wey_table_37,https://www.boxofficemojo.com/release/rl3142157825/?ref_=bo_wey_table_37
27,May 30-Jun 1,166212620,10.5,175925663,9.8,132,Finding Nemo,22,https://www.boxofficemojo.com/weekend/2003W22/?ref_=bo_wey_table_35,https://www.boxofficemojo.com/release/rl2723382785/?ref_=bo_wey_table_35
26,Jun 6-8,154965259,-6.8,163967413,-6.8,136,2 Fast 2 Furious,23,https://www.boxofficemojo.com/weekend/2003W23/?ref_=bo_wey_table_34,https://www.boxofficemojo.com/release/rl1178699265/?ref_=bo_wey_table_34
25,Jun 13-15,114371490,-26.2,123703617,-24.6,131,Finding Nemo,24,https://www.boxofficemojo.com/weekend/2003W24/?ref_=bo_wey_table_33,https://www.boxofficemojo.com/release/rl2723382785/?ref_=bo_wey_table_33
24,Jun 20-22,138565602,21.2,150576968,21.7,126,Hulk,25,https://www.boxofficemojo.com/weekend/2003W25/?ref_=bo_wey_table_32,https://www.boxofficemojo.com/release/rl2488829441/?ref_=bo_wey_table_32
23,Jun 27-29,107713698,-22.3,122827678,-18.4,140,Charlie's Angels: Full Throttle,26,https://www.boxofficemojo.com/weekend/2003W26/?ref_=bo_wey_table_31,https://www.boxofficemojo.com/release/rl793478657/?ref_=bo_wey_table_31
22,Jul 4-6,123267847,14.4,136424692,11.1,134,Terminator 3: Rise of the Machines,27,https://www.boxofficemojo.com/weekend/2003W27/?ref_=bo_wey_table_30,https://www.boxofficemojo.com/release/rl3413476865/?ref_=bo_wey_table_30
21,Jul 11-13,131792592,6.9,145860657,6.9,134,Pirates of the Caribbean: The Curse of the Black Pearl,28,https://www.boxofficemojo.com/weekend/2003W28/?ref_=bo_wey_table_29,https://www.boxofficemojo.com/release/rl4134045185/?ref_=bo_wey_table_29
20,Jul 18-20,134729265,2.2,150392924,3.1,131,Bad Boys II,29,https://www.boxofficemojo.com/weekend/2003W29/?ref_=bo_wey_table_28,https://www.boxofficemojo.com/release/rl1732609537/?ref_=bo_wey_table_28
19,Jul 25-27,141886062,5.3,157785025,4.9,136,Spy Kids 3-D: Game Over,30,https://www.boxofficemojo.com/weekend/2003W30/?ref_=bo_wey_table_27,https://www.boxofficemojo.com/release/rl1936950785/?ref_=bo_wey_table_27
18,Aug 1-3,127890683,-9.9,145559198,-7.7,130,American Wedding,31,https://www.boxofficemojo.com/weekend/2003W31/?ref_=bo_wey_table_26,https://www.boxofficemojo.com/release/rl2319681025/?ref_=bo_wey_table_26
17,Aug 8-10,125206737,-2.1,140585934,-3.4,137,S.W.A.T.,32,https://www.boxofficemojo.com/weekend/2003W32/?ref_=bo_wey_table_25,https://www.boxofficemojo.com/release/rl3279062529/?ref_=bo_wey_table_25
16,Aug 15-17,127283862,1.7,146754350,4.4,132,Freddy vs. Jason,33,https://www.boxofficemojo.com/weekend/2003W33/?ref_=bo_wey_table_24,https://www.boxofficemojo.com/release/rl3914499585/?ref_=bo_wey_table_24
15,Aug 22-24,80395694,-36.8,101373924,-30.9,136,Freddy vs. Jason,34,https://www.boxofficemojo.com/weekend/2003W34/?ref_=bo_wey_table_23,https://www.boxofficemojo.com/release/rl3914499585/?ref_=bo_wey_table_23
47,Aug 29-31,75172635,-6.5,101758466,0.4,106,Jeepers Creepers 2,35,https://www.boxofficemojo.com/weekend/2003W35/?ref_=bo_wey_table_22,https://www.boxofficemojo.com/release/rl3311044097/?ref_=bo_wey_table_22
14,Sep 5-7,46118364,-38.7,67595843,-33.6,144,Dickie Roberts: Former Child Star,36,https://www.boxofficemojo.com/weekend/2003W36/?ref_=bo_wey_table_20,https://www.boxofficemojo.com/release/rl3192882689/?ref_=bo_wey_table_20
13,Sep 12-14,69711433,51.2,87386431,29.3,153,Once Upon a Time in Mexico,37,https://www.boxofficemojo.com/weekend/2003W37/?ref_=bo_wey_table_19,https://www.boxofficemojo.com/release/rl1080460801/?ref_=bo_wey_table_19
12,Sep 19-21,87127122,25.0,106760959,22.2,148,Underworld,38,https://www.boxofficemojo.com/weekend/2003W38/?ref_=bo_wey_table_18,https://www.boxofficemojo.com/release/rl2188805633/?ref_=bo_wey_table_18
11,Sep 26-28,74175948,-14.9,93445678,-12.5,152,The Rundown,39,https://www.boxofficemojo.com/weekend/2003W39/?ref_=bo_wey_table_17,https://www.boxofficemojo.com/release/rl997164545/?ref_=bo_wey_table_17
10,Oct 3-5,76465128,3.1,93994145,0.6,148,School of Rock,40,https://www.boxofficemojo.com/weekend/2003W40/?ref_=bo_wey_table_16,https://www.boxofficemojo.com/release/rl3782182401/?ref_=bo_wey_table_16
46,Oct 10-12,93729703,22.6,110181734,17.2,152,Kill Bill: Vol. 1,41,https://www.boxofficemojo.com/weekend/2003W41/?ref_=bo_wey_table_14,https://www.boxofficemojo.com/release/rl2103215617/?ref_=bo_wey_table_14
9,Oct 17-19,100497930,7.2,115242688,4.6,153,The Texas Chainsaw Massacre,42,https://www.boxofficemojo.com/weekend/2003W42/?ref_=bo_wey_table_13,https://www.boxofficemojo.com/release/rl2373289473/?ref_=bo_wey_table_13
