,weekend,top10gross,top10percentchange,overallgross,overallpercentchange,numreleases,num1release,weeknum,weekendlink,num1link
42,Jan 5-7,144171701,-16.8,165531482,-14.7,89,Jumanji: Welcome to the Jungle,1,https://www.boxofficemojo.com/weekend/2018W01/?ref_=bo_wey_table_62,https://www.boxofficemojo.com/release/rl3095234049/?ref_=bo_wey_table_62
51,Jan 12-14,129325213,-10.3,159135848,-3.9,95,Jumanji: Welcome to the Jungle,2,https://www.boxofficemojo.com/weekend/2018W02/?ref_=bo_wey_table_60,https://www.boxofficemojo.com/release/rl3095234049/?ref_=bo_wey_table_60
41,Jan 19-21,104176178,-19.4,135628208,-14.8,103,Jumanji: Welcome to the Jungle,3,https://www.boxofficemojo.com/weekend/2018W03/?ref_=bo_wey_table_59,https://www.boxofficemojo.com/release/rl3095234049/?ref_=bo_wey_table_59
40,Jan 26-28,102483376,-1.6,142985855,5.4,104,Maze Runner: The Death Cure,4,https://www.boxofficemojo.com/weekend/2018W04/?ref_=bo_wey_table_58,https://www.boxofficemojo.com/release/rl3663955457/?ref_=bo_wey_table_58
39,Feb 2-4,65718354,-35.9,94988230,-33.6,102,Jumanji: Welcome to the Jungle,5,https://www.boxofficemojo.com/weekend/2018W05/?ref_=bo_wey_table_57,https://www.boxofficemojo.com/release/rl3095234049/?ref_=bo_wey_table_57
38,Feb 9-11,113834248,73.2,141457633,48.9,105,Fifty Shades Freed,6,https://www.boxofficemojo.com/weekend/2018W06/?ref_=bo_wey_table_56,https://www.boxofficemojo.com/release/rl4014048769/?ref_=bo_wey_table_56
50,Feb 16-18,267360455,134.9,286751803,102.7,102,Black Panther,7,https://www.boxofficemojo.com/weekend/2018W07/?ref_=bo_wey_table_55,https://www.boxofficemojo.com/release/rl2992866817/?ref_=bo_wey_table_55
37,Feb 23-25,177068935,-33.8,195707999,-31.8,110,Black Panther,8,https://www.boxofficemojo.com/weekend/2018W08/?ref_=bo_wey_table_53,https://www.boxofficemojo.com/release/rl2992866817/?ref_=bo_wey_table_53
36,Mar 2-4,134280505,-24.2,149122522,-23.8,115,Black Panther,9,https://www.boxofficemojo.com/weekend/2018W09/?ref_=bo_wey_table_52,https://www.boxofficemojo.com/release/rl2992866817/?ref_=bo_wey_table_52
35,Mar 9-11,123134923,-8.3,139696317,-6.3,112,Black Panther,10,https://www.boxofficemojo.com/weekend/2018W10/?ref_=bo_wey_table_51,https://www.boxofficemojo.com/release/rl2992866817/?ref_=bo_wey_table_51
34,Mar 16-18,118810762,-3.5,132848455,-4.9,114,Black Panther,11,https://www.boxofficemojo.com/weekend/2018W11/?ref_=bo_wey_table_50,https://www.boxofficemojo.com/release/rl2992866817/?ref_=bo_wey_table_50
33,Mar 23-25,108669222,-8.5,130423221,-1.8,114,Pacific Rim: Uprising,12,https://www.boxofficemojo.com/weekend/2018W12/?ref_=bo_wey_table_49,https://www.boxofficemojo.com/release/rl1382647297/?ref_=bo_wey_table_49
49,Mar 30-Apr 1,115250516,6.1,137246461,5.2,112,Ready Player One,13,https://www.boxofficemojo.com/weekend/2018W13/?ref_=bo_wey_table_47,https://www.boxofficemojo.com/release/rl2977793537/?ref_=bo_wey_table_47
32,Apr 6-8,140865614,22.2,164133343,19.6,116,A Quiet Place,14,https://www.boxofficemojo.com/weekend/2018W14/?ref_=bo_wey_table_46,https://www.boxofficemojo.com/release/rl2399176193/?ref_=bo_wey_table_46
31,Apr 13-15,131792250,-6.4,150160537,-8.5,117,Rampage,15,https://www.boxofficemojo.com/weekend/2018W15/?ref_=bo_wey_table_45,https://www.boxofficemojo.com/release/rl2122286593/?ref_=bo_wey_table_45
30,Apr 20-22,106600851,-19.1,125778372,-16.2,121,A Quiet Place,16,https://www.boxofficemojo.com/weekend/2018W16/?ref_=bo_wey_table_44,https://www.boxofficemojo.com/release/rl2399176193/?ref_=bo_wey_table_44
29,Apr 27-29,303012371,184.2,313937789,149.6,125,Avengers: Infinity War,17,https://www.boxofficemojo.com/weekend/2018W17/?ref_=bo_wey_table_43,https://www.boxofficemojo.com/release/rl3043198465/?ref_=bo_wey_table_43
28,May 4-6,158985116,-47.5,169550312,-46.0,115,Avengers: Infinity War,18,https://www.boxofficemojo.com/weekend/2018W18/?ref_=bo_wey_table_42,https://www.boxofficemojo.com/release/rl3043198465/?ref_=bo_wey_table_42
27,May 11-13,126696435,-20.3,139103219,-18.0,122,Avengers: Infinity War,19,https://www.boxofficemojo.com/weekend/2018W19/?ref_=bo_wey_table_41,https://www.boxofficemojo.com/release/rl3043198465/?ref_=bo_wey_table_41
