,weekend,top10gross,top10percentchange,overallgross,overallpercentchange,numreleases,num1release,weeknum,weekendlink,num1link
20,Jul 18-20,250971601,79.4,260528431,72.1,122,The Dark Knight,29,https://www.boxofficemojo.com/weekend/2008W29/?ref_=bo_wey_table_28,https://www.boxofficemojo.com/release/rl3729098241/?ref_=bo_wey_table_28
19,Jul 25-27,170701895,-32.0,180876759,-30.6,120,The Dark Knight,30,https://www.boxofficemojo.com/weekend/2008W30/?ref_=bo_wey_table_27,https://www.boxofficemojo.com/release/rl3729098241/?ref_=bo_wey_table_27
18,Aug 1-3,140934095,-17.4,153060805,-15.4,122,The Dark Knight,31,https://www.boxofficemojo.com/weekend/2008W31/?ref_=bo_wey_table_26,https://www.boxofficemojo.com/release/rl3729098241/?ref_=bo_wey_table_26
17,Aug 8-10,108322998,-23.1,121575179,-20.6,123,The Dark Knight,32,https://www.boxofficemojo.com/weekend/2008W32/?ref_=bo_wey_table_25,https://www.boxofficemojo.com/release/rl3729098241/?ref_=bo_wey_table_25
16,Aug 15-17,106423430,-1.8,125105639,2.9,123,Tropic Thunder,33,https://www.boxofficemojo.com/weekend/2008W33/?ref_=bo_wey_table_24,https://www.boxofficemojo.com/release/rl3782706689/?ref_=bo_wey_table_24
15,Aug 22-24,82667170,-22.3,106158138,-15.1,120,Tropic Thunder,34,https://www.boxofficemojo.com/weekend/2008W34/?ref_=bo_wey_table_23,https://www.boxofficemojo.com/release/rl3782706689/?ref_=bo_wey_table_23
47,Aug 29-31,68515837,-17.1,98191562,-7.5,121,Tropic Thunder,35,https://www.boxofficemojo.com/weekend/2008W35/?ref_=bo_wey_table_22,https://www.boxofficemojo.com/release/rl3782706689/?ref_=bo_wey_table_22
14,Sep 5-7,46350874,-32.4,68005476,-30.7,126,Bangkok Dangerous,36,https://www.boxofficemojo.com/weekend/2008W36/?ref_=bo_wey_table_20,https://www.boxofficemojo.com/release/rl2537915905/?ref_=bo_wey_table_20
13,Sep 12-14,82159485,77.3,101041980,48.6,131,Burn After Reading,37,https://www.boxofficemojo.com/weekend/2008W37/?ref_=bo_wey_table_19,https://www.boxofficemojo.com/release/rl4081681921/?ref_=bo_wey_table_19
12,Sep 19-21,72805930,-11.4,89307263,-11.6,137,Lakeview Terrace,38,https://www.boxofficemojo.com/weekend/2008W38/?ref_=bo_wey_table_18,https://www.boxofficemojo.com/release/rl207586817/?ref_=bo_wey_table_18
11,Sep 26-28,82148111,12.8,101343749,13.5,125,Eagle Eye,39,https://www.boxofficemojo.com/weekend/2008W39/?ref_=bo_wey_table_17,https://www.boxofficemojo.com/release/rl3427698177/?ref_=bo_wey_table_17
10,Oct 3-5,90629110,10.3,113697851,12.2,126,Beverly Hills Chihuahua,40,https://www.boxofficemojo.com/weekend/2008W40/?ref_=bo_wey_table_16,https://www.boxofficemojo.com/release/rl4084237825/?ref_=bo_wey_table_16
46,Oct 10-12,80803153,-10.8,101937331,-10.3,139,Beverly Hills Chihuahua,41,https://www.boxofficemojo.com/weekend/2008W41/?ref_=bo_wey_table_14,https://www.boxofficemojo.com/release/rl4084237825/?ref_=bo_wey_table_14
9,Oct 17-19,79992286,-1.0,100261162,-1.6,131,Max Payne,42,https://www.boxofficemojo.com/weekend/2008W42/?ref_=bo_wey_table_13,https://www.boxofficemojo.com/release/rl3999499777/?ref_=bo_wey_table_13
8,Oct 24-26,115860151,44.8,134501763,34.2,135,High School Musical 3: Senior Year,43,https://www.boxofficemojo.com/weekend/2008W43/?ref_=bo_wey_table_12,https://www.boxofficemojo.com/release/rl2807596545/?ref_=bo_wey_table_12
7,Oct 31-Nov 2,69307204,-40.2,87673009,-34.8,140,High School Musical 3: Senior Year,44,https://www.boxofficemojo.com/weekend/2008W44/?ref_=bo_wey_table_11,https://www.boxofficemojo.com/release/rl2807596545/?ref_=bo_wey_table_11
6,Nov 7-9,123379106,78.0,142496307,62.5,134,Madagascar: Escape 2 Africa,45,https://www.boxofficemojo.com/weekend/2008W45/?ref_=bo_wey_table_10,https://www.boxofficemojo.com/release/rl1382057473/?ref_=bo_wey_table_10
5,Nov 14-16,134787672,9.2,148685590,4.3,127,Quantum of Solace,46,https://www.boxofficemojo.com/weekend/2008W46/?ref_=bo_wey_table_9,https://www.boxofficemojo.com/release/rl3445261825/?ref_=bo_wey_table_9
45,Nov 21-23,154817872,14.9,164744894,10.8,118,Twilight,47,https://www.boxofficemojo.com/weekend/2008W47/?ref_=bo_wey_table_8,https://www.boxofficemojo.com/release/rl58099201/?ref_=bo_wey_table_8
4,Nov 28-30,152333947,8.8,162603106,0.3,105,Four Christmases,48,https://www.boxofficemojo.com/weekend/2008W48/?ref_=bo_wey_table_5,https://www.boxofficemojo.com/release/rl2689762817/?ref_=bo_wey_table_5
3,Dec 5-7,73440488,-51.8,82434771,-49.3,115,Four Christmases,49,https://www.boxofficemojo.com/weekend/2008W49/?ref_=bo_wey_table_4,https://www.boxofficemojo.com/release/rl2689762817/?ref_=bo_wey_table_4
2,Dec 12-14,78517597,6.9,91696655,11.2,105,The Day the Earth Stood Still,50,https://www.boxofficemojo.com/weekend/2008W50/?ref_=bo_wey_table_3,https://www.boxofficemojo.com/release/rl1548518913/?ref_=bo_wey_table_3
1,Dec 19-21,77424767,-1.4,88506299,-3.5,92,Yes Man,51,https://www.boxofficemojo.com/weekend/2008W51/?ref_=bo_wey_table_2,https://www.boxofficemojo.com/release/rl2860156417/?ref_=bo_wey_table_2
0,Dec 26-28,169982431,119.5,201594006,127.8,85,Marley & Me,52,https://www.boxofficemojo.com/weekend/2008W52/?ref_=bo_wey_table_1,https://www.boxofficemojo.com/release/rl1466140161/?ref_=bo_wey_table_1
