,weekend,top10gross,top10percentchange,overallgross,overallpercentchange,numreleases,num1release,weeknum,weekendlink,num1link
17,Aug 8-10,169712505,1.1,186257061,0.1,115,Teenage Mutant Ninja Turtles,32,https://www.boxofficemojo.com/weekend/2014W32/?ref_=bo_wey_table_25,https://www.boxofficemojo.com/release/rl3514074625/?ref_=bo_wey_table_25
16,Aug 15-17,124986010,-26.4,142851832,-23.3,105,Teenage Mutant Ninja Turtles,33,https://www.boxofficemojo.com/weekend/2014W33/?ref_=bo_wey_table_24,https://www.boxofficemojo.com/release/rl3514074625/?ref_=bo_wey_table_24
15,Aug 22-24,97178514,-22.2,114968447,-19.5,104,Guardians of the Galaxy,34,https://www.boxofficemojo.com/weekend/2014W34/?ref_=bo_wey_table_23,https://www.boxofficemojo.com/release/rl3177416193/?ref_=bo_wey_table_23
47,Aug 29-31,82775516,-14.8,109546806,-4.7,109,Guardians of the Galaxy,35,https://www.boxofficemojo.com/weekend/2014W35/?ref_=bo_wey_table_22,https://www.boxofficemojo.com/release/rl3177416193/?ref_=bo_wey_table_22
14,Sep 5-7,48083368,-41.9,66163578,-39.6,120,Guardians of the Galaxy,36,https://www.boxofficemojo.com/weekend/2014W36/?ref_=bo_wey_table_20,https://www.boxofficemojo.com/release/rl3177416193/?ref_=bo_wey_table_20
13,Sep 12-14,73297493,52.4,91402770,38.1,122,No Good Deed,37,https://www.boxofficemojo.com/weekend/2014W37/?ref_=bo_wey_table_19,https://www.boxofficemojo.com/release/rl3211232769/?ref_=bo_wey_table_19
12,Sep 19-21,90003667,22.8,103238746,12.9,124,The Maze Runner,38,https://www.boxofficemojo.com/weekend/2014W38/?ref_=bo_wey_table_18,https://www.boxofficemojo.com/release/rl3680732673/?ref_=bo_wey_table_18
11,Sep 26-28,95966661,6.6,107678203,4.3,131,The Equalizer,39,https://www.boxofficemojo.com/weekend/2014W39/?ref_=bo_wey_table_17,https://www.boxofficemojo.com/release/rl3495003649/?ref_=bo_wey_table_17
10,Oct 3-5,136249161,42.0,149452204,38.8,123,Gone Girl,40,https://www.boxofficemojo.com/weekend/2014W40/?ref_=bo_wey_table_16,https://www.boxofficemojo.com/release/rl2186577409/?ref_=bo_wey_table_16
46,Oct 10-12,131383392,-3.6,147462707,-1.3,122,Gone Girl,41,https://www.boxofficemojo.com/weekend/2014W41/?ref_=bo_wey_table_14,https://www.boxofficemojo.com/release/rl2186577409/?ref_=bo_wey_table_14
9,Oct 17-19,115233422,-12.3,131793399,-10.6,117,Fury,42,https://www.boxofficemojo.com/weekend/2014W42/?ref_=bo_wey_table_13,https://www.boxofficemojo.com/release/rl1817544193/?ref_=bo_wey_table_13
8,Oct 24-26,97071579,-15.8,116024797,-12.0,122,Ouija,43,https://www.boxofficemojo.com/weekend/2014W43/?ref_=bo_wey_table_12,https://www.boxofficemojo.com/release/rl476677633/?ref_=bo_wey_table_12
7,Oct 31-Nov 2,74843496,-22.9,94999696,-18.1,120,Ouija,44,https://www.boxofficemojo.com/weekend/2014W44/?ref_=bo_wey_table_11,https://www.boxofficemojo.com/release/rl476677633/?ref_=bo_wey_table_11
6,Nov 7-9,142643895,90.6,157108227,65.4,121,Big Hero 6,45,https://www.boxofficemojo.com/weekend/2014W45/?ref_=bo_wey_table_10,https://www.boxofficemojo.com/release/rl4283401729/?ref_=bo_wey_table_10
5,Nov 14-16,125728488,-11.9,140548635,-10.5,108,Dumb and Dumber To,46,https://www.boxofficemojo.com/weekend/2014W46/?ref_=bo_wey_table_9,https://www.boxofficemojo.com/release/rl3763242497/?ref_=bo_wey_table_9
45,Nov 21-23,184467355,46.7,194683879,38.5,97,The Hunger Games: Mockingjay - Part 1,47,https://www.boxofficemojo.com/weekend/2014W47/?ref_=bo_wey_table_8,https://www.boxofficemojo.com/release/rl4283991553/?ref_=bo_wey_table_8
4,Nov 28-30,151851533,-19.9,163791775,-21.3,97,The Hunger Games: Mockingjay - Part 1,48,https://www.boxofficemojo.com/weekend/2014W48/?ref_=bo_wey_table_5,https://www.boxofficemojo.com/release/rl4283991553/?ref_=bo_wey_table_5
3,Dec 5-7,68103918,-55.2,78180686,-52.3,96,The Hunger Games: Mockingjay - Part 1,49,https://www.boxofficemojo.com/weekend/2014W49/?ref_=bo_wey_table_4,https://www.boxofficemojo.com/release/rl4283991553/?ref_=bo_wey_table_4
2,Dec 12-14,73808138,8.4,84013268,7.5,100,Exodus: Gods and Kings,50,https://www.boxofficemojo.com/weekend/2014W50/?ref_=bo_wey_table_3,https://www.boxofficemojo.com/release/rl1498449409/?ref_=bo_wey_table_3
1,Dec 19-21,122059385,65.4,135107375,60.8,78,The Hobbit: The Battle of the Five Armies,51,https://www.boxofficemojo.com/weekend/2014W51/?ref_=bo_wey_table_2,https://www.boxofficemojo.com/release/rl2354677249/?ref_=bo_wey_table_2
0,Dec 26-28,178499687,46.2,209570080,55.1,83,The Hobbit: The Battle of the Five Armies,52,https://www.boxofficemojo.com/weekend/2014W52/?ref_=bo_wey_table_1,https://www.boxofficemojo.com/release/rl2354677249/?ref_=bo_wey_table_1
