,weekend,top10gross,top10percentchange,overallgross,overallpercentchange,numreleases,num1release,weeknum,weekendlink,num1link
44,Jan 3-5,118936215,-29.1,141235662,-28.4,82,Frozen,1,https://www.boxofficemojo.com/weekend/2014W01/?ref_=bo_wey_table_60,https://www.boxofficemojo.com/release/rl357926401/?ref_=bo_wey_table_60
43,Jan 10-12,112448084,-5.5,140678920,-0.4,90,Lone Survivor,2,https://www.boxofficemojo.com/weekend/2014W02/?ref_=bo_wey_table_59,https://www.boxofficemojo.com/release/rl1516340737/?ref_=bo_wey_table_59
51,Jan 17-19,146864924,30.6,176376093,25.4,88,Ride Along,3,https://www.boxofficemojo.com/weekend/2014W03/?ref_=bo_wey_table_58,https://www.boxofficemojo.com/release/rl694978049/?ref_=bo_wey_table_58
42,Jan 24-26,93470822,-36.4,118158602,-33.0,97,Ride Along,4,https://www.boxofficemojo.com/weekend/2014W04/?ref_=bo_wey_table_56,https://www.boxofficemojo.com/release/rl694978049/?ref_=bo_wey_table_56
41,Jan 31-Feb 2,65887288,-29.5,86093764,-27.1,95,Ride Along,5,https://www.boxofficemojo.com/weekend/2014W05/?ref_=bo_wey_table_55,https://www.boxofficemojo.com/release/rl694978049/?ref_=bo_wey_table_55
40,Feb 7-9,132710403,101.4,152984502,77.7,109,The Lego Movie,6,https://www.boxofficemojo.com/weekend/2014W06/?ref_=bo_wey_table_54,https://www.boxofficemojo.com/release/rl643728897/?ref_=bo_wey_table_54
50,Feb 14-16,155759468,17.4,178203826,16.5,102,The Lego Movie,7,https://www.boxofficemojo.com/weekend/2014W07/?ref_=bo_wey_table_52,https://www.boxofficemojo.com/release/rl643728897/?ref_=bo_wey_table_52
39,Feb 21-23,94308705,-39.5,111894114,-37.2,106,The Lego Movie,8,https://www.boxofficemojo.com/weekend/2014W08/?ref_=bo_wey_table_51,https://www.boxofficemojo.com/release/rl643728897/?ref_=bo_wey_table_51
38,Feb 28-Mar 2,104089480,10.4,123702145,10.6,113,Non-Stop,9,https://www.boxofficemojo.com/weekend/2014W09/?ref_=bo_wey_table_50,https://www.boxofficemojo.com/release/rl2691139073/?ref_=bo_wey_table_50
37,Mar 7-9,127539955,22.5,143856540,16.3,110,300: Rise of an Empire,10,https://www.boxofficemojo.com/weekend/2014W10/?ref_=bo_wey_table_49,https://www.boxofficemojo.com/release/rl3208742401/?ref_=bo_wey_table_49
36,Mar 14-16,98624322,-22.7,113961674,-20.8,108,Mr. Peabody & Sherman,11,https://www.boxofficemojo.com/weekend/2014W11/?ref_=bo_wey_table_48,https://www.boxofficemojo.com/release/rl4200957441/?ref_=bo_wey_table_48
35,Mar 21-23,129583231,31.4,141511040,24.2,111,Divergent,12,https://www.boxofficemojo.com/weekend/2014W12/?ref_=bo_wey_table_47,https://www.boxofficemojo.com/release/rl3763308033/?ref_=bo_wey_table_47
34,Mar 28-30,124746109,-3.7,140733798,-0.5,107,Noah,13,https://www.boxofficemojo.com/weekend/2014W13/?ref_=bo_wey_table_46,https://www.boxofficemojo.com/release/rl1231521281/?ref_=bo_wey_table_46
33,Apr 4-6,155800774,24.9,167195578,18.8,115,Captain America: The Winter Soldier,14,https://www.boxofficemojo.com/weekend/2014W14/?ref_=bo_wey_table_45,https://www.boxofficemojo.com/release/rl3194193409/?ref_=bo_wey_table_45
32,Apr 11-13,131084472,-15.9,140035789,-16.2,109,Captain America: The Winter Soldier,15,https://www.boxofficemojo.com/weekend/2014W15/?ref_=bo_wey_table_44,https://www.boxofficemojo.com/release/rl3194193409/?ref_=bo_wey_table_44
49,Apr 18-20,116260430,-11.3,133412005,-4.7,112,Captain America: The Winter Soldier,16,https://www.boxofficemojo.com/weekend/2014W16/?ref_=bo_wey_table_43,https://www.boxofficemojo.com/release/rl3194193409/?ref_=bo_wey_table_43
31,Apr 25-27,97473803,-16.2,116798742,-12.5,114,The Other Woman,17,https://www.boxofficemojo.com/weekend/2014W17/?ref_=bo_wey_table_41,https://www.boxofficemojo.com/release/rl543786497/?ref_=bo_wey_table_41
30,May 2-4,141515375,45.2,154089137,31.9,117,The Amazing Spider-Man 2,18,https://www.boxofficemojo.com/weekend/2014W18/?ref_=bo_wey_table_40,https://www.boxofficemojo.com/release/rl846431745/?ref_=bo_wey_table_40
29,May 9-11,123849070,-12.5,136748446,-11.3,113,Neighbors,19,https://www.boxofficemojo.com/weekend/2014W19/?ref_=bo_wey_table_39,https://www.boxofficemojo.com/release/rl1719109121/?ref_=bo_wey_table_39
28,May 16-18,167395914,35.2,178532518,30.6,110,Godzilla,20,https://www.boxofficemojo.com/weekend/2014W20/?ref_=bo_wey_table_38,https://www.boxofficemojo.com/release/rl3193210369/?ref_=bo_wey_table_38
48,May 23-25,175346822,4.7,187304335,4.9,108,X-Men: Days of Future Past,21,https://www.boxofficemojo.com/weekend/2014W21/?ref_=bo_wey_table_37,https://www.boxofficemojo.com/release/rl1400538625/?ref_=bo_wey_table_37
27,May 30-Jun 1,157680341,-10.1,166531884,-11.1,110,Maleficent,22,https://www.boxofficemojo.com/weekend/2014W22/?ref_=bo_wey_table_35,https://www.boxofficemojo.com/release/rl3915417089/?ref_=bo_wey_table_35
26,Jun 6-8,153810858,-2.5,162996895,-2.1,111,The Fault in Our Stars,23,https://www.boxofficemojo.com/weekend/2014W23/?ref_=bo_wey_table_34,https://www.boxofficemojo.com/release/rl324240897/?ref_=bo_wey_table_34
25,Jun 13-15,177277722,15.3,187054204,14.8,124,22 Jump Street,24,https://www.boxofficemojo.com/weekend/2014W24/?ref_=bo_wey_table_33,https://www.boxofficemojo.com/release/rl1581352449/?ref_=bo_wey_table_33
24,Jun 20-22,135785499,-23.4,145919699,-22.0,112,Think Like a Man Too,25,https://www.boxofficemojo.com/weekend/2014W25/?ref_=bo_wey_table_32,https://www.boxofficemojo.com/release/rl1869907457/?ref_=bo_wey_table_32
23,Jun 27-29,171037682,26.0,180104687,23.4,124,Transformers: Age of Extinction,26,https://www.boxofficemojo.com/weekend/2014W26/?ref_=bo_wey_table_31,https://www.boxofficemojo.com/release/rl2960623105/?ref_=bo_wey_table_31
22,Jul 4-6,115345546,-32.6,132438349,-26.5,110,Transformers: Age of Extinction,27,https://www.boxofficemojo.com/weekend/2014W27/?ref_=bo_wey_table_30,https://www.boxofficemojo.com/release/rl2960623105/?ref_=bo_wey_table_30
21,Jul 11-13,133801344,16.0,150191251,13.4,117,Dawn of the Planet of the Apes,28,https://www.boxofficemojo.com/weekend/2014W28/?ref_=bo_wey_table_29,https://www.boxofficemojo.com/release/rl1649182209/?ref_=bo_wey_table_29
20,Jul 18-20,130550571,-2.4,149206140,-0.7,104,Dawn of the Planet of the Apes,29,https://www.boxofficemojo.com/weekend/2014W29/?ref_=bo_wey_table_28,https://www.boxofficemojo.com/release/rl1649182209/?ref_=bo_wey_table_28
19,Jul 25-27,132017659,1.1,154787126,3.7,117,Lucy,30,https://www.boxofficemojo.com/weekend/2014W30/?ref_=bo_wey_table_27,https://www.boxofficemojo.com/release/rl1902151169/?ref_=bo_wey_table_27
18,Aug 1-3,167783615,27.1,186409629,20.4,109,Guardians of the Galaxy,31,https://www.boxofficemojo.com/weekend/2014W31/?ref_=bo_wey_table_26,https://www.boxofficemojo.com/release/rl3177416193/?ref_=bo_wey_table_26
