,weekend,top10gross,top10percentchange,overallgross,overallpercentchange,numreleases,num1release,weeknum,weekendlink,num1link
38,Jan 4-6,119007739,-28.2,138872261,-26.2,89,Aquaman,1,https://www.boxofficemojo.com/weekend/2019W01/?ref_=bo_wey_table_51,https://www.boxofficemojo.com/release/rl3108800001/?ref_=bo_wey_table_51
37,Jan 11-13,96775974,-18.7,119640159,-13.8,86,The Upside,2,https://www.boxofficemojo.com/weekend/2019W02/?ref_=bo_wey_table_50,https://www.boxofficemojo.com/release/rl3204679169/?ref_=bo_wey_table_50
44,Jan 18-20,109523159,13.2,129779595,8.5,78,Glass,3,https://www.boxofficemojo.com/weekend/2019W03/?ref_=bo_wey_table_49,https://www.boxofficemojo.com/release/rl1518241281/?ref_=bo_wey_table_49
36,Jan 25-27,73819238,-32.6,103503701,-20.2,82,Glass,4,https://www.boxofficemojo.com/weekend/2019W04/?ref_=bo_wey_table_47,https://www.boxofficemojo.com/release/rl1518241281/?ref_=bo_wey_table_47
35,Feb 1-3,52087190,-29.4,73462968,-29.0,85,Glass,5,https://www.boxofficemojo.com/weekend/2019W05/?ref_=bo_wey_table_46,https://www.boxofficemojo.com/release/rl1518241281/?ref_=bo_wey_table_46
34,Feb 8-10,95027517,82.4,115811896,57.6,93,The Lego Movie 2: The Second Part,6,https://www.boxofficemojo.com/weekend/2019W06/?ref_=bo_wey_table_45,https://www.boxofficemojo.com/release/rl1517848065/?ref_=bo_wey_table_45
43,Feb 15-17,105197571,10.7,126265201,9.0,102,Alita: Battle Angel,7,https://www.boxofficemojo.com/weekend/2019W07/?ref_=bo_wey_table_43,https://www.boxofficemojo.com/release/rl1887340033/?ref_=bo_wey_table_43
33,Feb 22-24,110669509,5.2,127999939,1.4,88,How to Train Your Dragon: The Hidden World,8,https://www.boxofficemojo.com/weekend/2019W08/?ref_=bo_wey_table_42,https://www.boxofficemojo.com/release/rl2606269953/?ref_=bo_wey_table_42
32,Mar 1-3,94364496,-14.7,115975923,-9.4,114,How to Train Your Dragon: The Hidden World,9,https://www.boxofficemojo.com/weekend/2019W09/?ref_=bo_wey_table_41,https://www.boxofficemojo.com/release/rl2606269953/?ref_=bo_wey_table_41
31,Mar 8-10,198063125,109.9,210564349,81.6,107,Captain Marvel,10,https://www.boxofficemojo.com/weekend/2019W10/?ref_=bo_wey_table_40,https://www.boxofficemojo.com/release/rl3009644033/?ref_=bo_wey_table_40
