,weekend,top10gross,top10percentchange,overallgross,overallpercentchange,numreleases,num1release,weeknum,weekendlink,num1link
44,Jan 2-4,125851864,-29.5,155083722,-26.0,89,The Hobbit: The Battle of the Five Armies,1,https://www.boxofficemojo.com/weekend/2015W01/?ref_=bo_wey_table_60,https://www.boxofficemojo.com/release/rl2354677249/?ref_=bo_wey_table_60
43,Jan 9-11,104708370,-16.8,126281581,-18.6,87,Taken 3,2,https://www.boxofficemojo.com/weekend/2015W02/?ref_=bo_wey_table_59,https://www.boxofficemojo.com/release/rl1668646401/?ref_=bo_wey_table_59
51,Jan 16-18,178963570,70.9,203241390,60.9,87,American Sniper,3,https://www.boxofficemojo.com/weekend/2015W03/?ref_=bo_wey_table_58,https://www.boxofficemojo.com/release/rl2923660801/?ref_=bo_wey_table_58
42,Jan 23-25,136480820,-23.7,159469503,-21.5,93,American Sniper,4,https://www.boxofficemojo.com/weekend/2015W04/?ref_=bo_wey_table_56,https://www.boxofficemojo.com/release/rl2923660801/?ref_=bo_wey_table_56
41,Jan 30-Feb 1,80089127,-41.3,102289935,-35.9,95,American Sniper,5,https://www.boxofficemojo.com/weekend/2015W05/?ref_=bo_wey_table_55,https://www.boxofficemojo.com/release/rl2923660801/?ref_=bo_wey_table_55
40,Feb 6-8,132753774,65.8,152017118,48.6,95,The SpongeBob Movie: Sponge Out of Water,6,https://www.boxofficemojo.com/weekend/2015W06/?ref_=bo_wey_table_54,https://www.boxofficemojo.com/release/rl158565889/?ref_=bo_wey_table_54
50,Feb 13-15,196187392,47.8,213956193,40.7,88,Fifty Shades of Grey,7,https://www.boxofficemojo.com/weekend/2015W07/?ref_=bo_wey_table_52,https://www.boxofficemojo.com/release/rl3980494337/?ref_=bo_wey_table_52
39,Feb 20-22,103802091,-47.1,118837843,-44.5,90,Fifty Shades of Grey,8,https://www.boxofficemojo.com/weekend/2015W08/?ref_=bo_wey_table_51,https://www.boxofficemojo.com/release/rl3980494337/?ref_=bo_wey_table_51
38,Feb 27-Mar 1,89378196,-13.9,106785872,-10.1,98,Focus,9,https://www.boxofficemojo.com/weekend/2015W09/?ref_=bo_wey_table_50,https://www.boxofficemojo.com/release/rl189957633/?ref_=bo_wey_table_50
37,Mar 6-8,72251925,-19.2,89415791,-16.3,94,Chappie,10,https://www.boxofficemojo.com/weekend/2015W10/?ref_=bo_wey_table_49,https://www.boxofficemojo.com/release/rl709592577/?ref_=bo_wey_table_49
36,Mar 13-15,115580190,60.0,131677520,47.3,94,Cinderella,11,https://www.boxofficemojo.com/weekend/2015W11/?ref_=bo_wey_table_48,https://www.boxofficemojo.com/release/rl4165699073/?ref_=bo_wey_table_48
35,Mar 20-22,117323618,1.5,130961022,-0.5,97,Insurgent,12,https://www.boxofficemojo.com/weekend/2015W12/?ref_=bo_wey_table_47,https://www.boxofficemojo.com/release/rl1012565505/?ref_=bo_wey_table_47
34,Mar 27-29,139905374,19.2,150316547,14.8,98,Home,13,https://www.boxofficemojo.com/weekend/2015W13/?ref_=bo_wey_table_46,https://www.boxofficemojo.com/release/rl1968604673/?ref_=bo_wey_table_46
49,Apr 3-5,216669859,54.9,224366628,49.3,96,Furious 7,14,https://www.boxofficemojo.com/weekend/2015W14/?ref_=bo_wey_table_45,https://www.boxofficemojo.com/release/rl1045661185/?ref_=bo_wey_table_45
33,Apr 10-12,123487605,-43.0,131496504,-41.4,103,Furious 7,15,https://www.boxofficemojo.com/weekend/2015W15/?ref_=bo_wey_table_43,https://www.boxofficemojo.com/release/rl1045661185/?ref_=bo_wey_table_43
32,Apr 17-19,108634824,-12.0,119720998,-9.0,111,Furious 7,16,https://www.boxofficemojo.com/weekend/2015W16/?ref_=bo_wey_table_42,https://www.boxofficemojo.com/release/rl1045661185/?ref_=bo_wey_table_42
31,Apr 24-26,80145066,-26.2,97392898,-18.7,117,Furious 7,17,https://www.boxofficemojo.com/weekend/2015W17/?ref_=bo_wey_table_41,https://www.boxofficemojo.com/release/rl1045661185/?ref_=bo_wey_table_41
30,May 1-3,223967813,179.5,232873431,139.1,102,Avengers: Age of Ultron,18,https://www.boxofficemojo.com/weekend/2015W18/?ref_=bo_wey_table_40,https://www.boxofficemojo.com/release/rl675644929/?ref_=bo_wey_table_40
29,May 8-10,119640318,-46.6,131347747,-43.6,97,Avengers: Age of Ultron,19,https://www.boxofficemojo.com/weekend/2015W19/?ref_=bo_wey_table_39,https://www.boxofficemojo.com/release/rl675644929/?ref_=bo_wey_table_39
28,May 15-17,175540242,46.7,184554442,40.5,93,Pitch Perfect 2,20,https://www.boxofficemojo.com/weekend/2015W20/?ref_=bo_wey_table_38,https://www.boxofficemojo.com/release/rl3932718593/?ref_=bo_wey_table_38
48,May 22-24,144619728,-17.6,154080020,-16.5,92,Tomorrowland,21,https://www.boxofficemojo.com/weekend/2015W21/?ref_=bo_wey_table_37,https://www.boxofficemojo.com/release/rl2051114497/?ref_=bo_wey_table_37
27,May 29-31,131136807,-9.3,138472506,-10.1,83,San Andreas,22,https://www.boxofficemojo.com/weekend/2015W22/?ref_=bo_wey_table_35,https://www.boxofficemojo.com/release/rl1433372161/?ref_=bo_wey_table_35
26,Jun 5-7,122790825,-6.4,132771309,-4.1,89,Spy,23,https://www.boxofficemojo.com/weekend/2015W23/?ref_=bo_wey_table_34,https://www.boxofficemojo.com/release/rl3513943553/?ref_=bo_wey_table_34
25,Jun 12-14,266035144,116.7,273785662,106.2,88,Jurassic World,24,https://www.boxofficemojo.com/weekend/2015W24/?ref_=bo_wey_table_33,https://www.boxofficemojo.com/release/rl2371716609/?ref_=bo_wey_table_33
24,Jun 19-21,238740396,-10.3,248039944,-9.4,90,Jurassic World,25,https://www.boxofficemojo.com/weekend/2015W25/?ref_=bo_wey_table_32,https://www.boxofficemojo.com/release/rl2371716609/?ref_=bo_wey_table_32
23,Jun 26-28,174073731,-27.1,184087635,-25.8,101,Jurassic World,26,https://www.boxofficemojo.com/weekend/2015W26/?ref_=bo_wey_table_31,https://www.boxofficemojo.com/release/rl2371716609/?ref_=bo_wey_table_31
22,Jul 3-5,127004488,-27.0,135328419,-26.5,88,Inside Out,27,https://www.boxofficemojo.com/weekend/2015W27/?ref_=bo_wey_table_30,https://www.boxofficemojo.com/release/rl4016604673/?ref_=bo_wey_table_30
21,Jul 10-12,202943834,59.8,215076951,58.9,103,Minions,28,https://www.boxofficemojo.com/weekend/2015W28/?ref_=bo_wey_table_29,https://www.boxofficemojo.com/release/rl2271380993/?ref_=bo_wey_table_29
20,Jul 17-19,178494977,-12.0,193925542,-9.8,100,Ant-Man,29,https://www.boxofficemojo.com/weekend/2015W29/?ref_=bo_wey_table_28,https://www.boxofficemojo.com/release/rl88245761/?ref_=bo_wey_table_28
19,Jul 24-26,138254037,-22.5,151040028,-22.1,100,Ant-Man,30,https://www.boxofficemojo.com/weekend/2015W30/?ref_=bo_wey_table_27,https://www.boxofficemojo.com/release/rl88245761/?ref_=bo_wey_table_27
18,Jul 31-Aug 2,136167805,-1.5,146282363,-3.1,95,Mission: Impossible - Rogue Nation,31,https://www.boxofficemojo.com/weekend/2015W31/?ref_=bo_wey_table_26,https://www.boxofficemojo.com/release/rl1382188545/?ref_=bo_wey_table_26
17,Aug 7-9,113252833,-16.8,131916514,-9.8,94,Mission: Impossible - Rogue Nation,32,https://www.boxofficemojo.com/weekend/2015W32/?ref_=bo_wey_table_25,https://www.boxofficemojo.com/release/rl1382188545/?ref_=bo_wey_table_25
16,Aug 14-16,129704209,14.5,148106885,12.3,98,Straight Outta Compton,33,https://www.boxofficemojo.com/weekend/2015W33/?ref_=bo_wey_table_24,https://www.boxofficemojo.com/release/rl292718081/?ref_=bo_wey_table_24
15,Aug 21-23,85356247,-34.2,106631353,-28.0,94,Straight Outta Compton,34,https://www.boxofficemojo.com/weekend/2015W34/?ref_=bo_wey_table_23,https://www.boxofficemojo.com/release/rl292718081/?ref_=bo_wey_table_23
14,Aug 28-30,63160916,-26.0,87836416,-17.6,96,Straight Outta Compton,35,https://www.boxofficemojo.com/weekend/2015W35/?ref_=bo_wey_table_22,https://www.boxofficemojo.com/release/rl292718081/?ref_=bo_wey_table_22
